model,split,rmse,mae,spearman,params
MeanPredictor,val,1.350554679922214,1.1758856834813807,0.0,"{""mean_value"": 4.089875582176812}"
MeanPredictor,test,1.2605591133709553,1.030979605404609,0.0,"{""mean_value"": 4.089875582176812}"
Ridge,val,1.1896018933894832,0.9725416326387742,0.43423032515307364,"{""alpha"": 1.0}"
Ridge,test,1.1797069169067957,0.9198825439570981,0.327291178270344,"{""alpha"": 1.0}"
SVR,val,1.2792335519649218,1.0436743740599645,0.2623613395789483,"{""C"": 2.0, ""epsilon"": 0.1, ""kernel"": ""rbf""}"
SVR,test,1.1933249849260898,0.947540133124987,0.4029639220968829,"{""C"": 2.0, ""epsilon"": 0.1, ""kernel"": ""rbf""}"
CatBoost,val,1.1744321634611405,0.9398522958319997,0.48215348014518694,"{""depth"": 6, ""learning_rate"": 0.05, ""iterations"": 300}"
CatBoost,test,1.1946323525527909,0.9535088978182037,0.3092696924573185,"{""depth"": 6, ""learning_rate"": 0.05, ""iterations"": 300}"
