split_seed,run_seed,variant,epoch,train_loss,val_loss,val_rmse,val_mae,val_spearman,selection_score
42,2,DiagTokenLenHeadRank,1,48.10707310267857,20.880881627400715,2.409743309020996,2.0156610012054443,0.24078804636782172,2.877540352367184
42,2,DiagTokenLenHeadRank,2,20.26230221702939,11.528722047805786,1.4755326509475708,1.2139873504638672,0.4881023201223022,1.7058141405451923
42,2,DiagTokenLenHeadRank,3,12.314628237769718,9.388260761896769,1.2227848768234253,1.034753441810608,0.5080659272219741,1.4052633481927812
42,2,DiagTokenLenHeadRank,4,11.536747705368768,9.331232706705729,1.2256325483322144,1.0335649251937866,0.49013192434978853,1.4105039909781927
42,2,DiagTokenLenHeadRank,5,11.553861436389742,9.667963981628418,1.2650983333587646,1.0701067447662354,0.4840606082554975,1.460015928311999
42,2,DiagTokenLenHeadRank,6,11.096749918801445,9.587115128835043,1.2743699550628662,1.0468698740005493,0.4681912027871343,1.4658587431449335
42,2,DiagTokenLenHeadRank,7,10.760128815968832,10.226682742436727,1.332279920578003,1.1104146242141724,0.24512720023348222,1.5731144965965236
42,2,DiagTokenLenHeadRank,8,10.757592678070068,10.941671450932821,1.3713387250900269,1.1779885292053223,0.11003604298846323,1.649330450943088
42,2,DiagTokenLenHeadRank,9,10.867171696254186,10.256596406300863,1.3259432315826416,1.1142593622207642,0.21365083811927565,1.5724604464199412
42,2,DiagTokenLenHeadRank,10,10.733633336566744,10.233939965566,1.383752465248108,1.0999563932418823,0.46990586842759685,1.588255683294439
42,2,DiagTokenLenHeadRank,11,10.644631113324847,9.097325682640076,1.2553631067276,0.9989272952079773,0.46432445680200946,1.435446262009293
42,2,DiagTokenLenHeadRank,12,10.339321840377082,9.762218713760376,1.289515495300293,1.070690393447876,0.32401931628293057,1.5085851962198225
42,2,DiagTokenLenHeadRank,13,9.975824265252976,9.819975852966309,1.299918532371521,1.0727715492248535,0.27021730766637403,1.5275788235277783
