seed,ablation_mode,epoch,train_loss,val_loss,val_rmse,val_mae,val_spearman,n_channels
52,no_ace_heuristic,1,0.9952359653654552,0.3858998417854309,1.2813010215759277,1.0983386039733887,-0.20127898941361064,33
52,no_ace_heuristic,2,0.4199443480798176,0.3257429550091426,1.1462217569351196,0.982409656047821,0.3437874533195441,33
52,no_ace_heuristic,3,0.31039582050981973,0.333459551135699,1.2205768823623657,1.0116380453109741,0.3932848682231519,33
52,no_ace_heuristic,4,0.32104983429114026,0.2649821937084198,1.1124950647354126,0.8800660371780396,0.43366664043860853,33
52,no_ace_heuristic,5,0.2853901634613673,0.24924352516730627,1.1268000602722168,0.849182665348053,0.4459666343153269,33
52,no_ace_heuristic,6,0.29304465864385876,0.2619781369964282,1.1398298740386963,0.8898159861564636,0.4186372026859755,33
52,no_ace_heuristic,7,0.2871778217099962,0.35958922902743023,1.2873384952545166,1.06123948097229,0.4008083353170195,33
52,no_ace_heuristic,8,0.267390339857056,0.24081851417819658,1.16999351978302,0.8590747117996216,0.39956608842477626,33
52,no_ace_heuristic,9,0.2613366955802554,0.29106591393550235,1.2320607900619507,0.9676055908203125,0.3858138904345904,33
52,no_ace_heuristic,10,0.2612528055906296,0.24826603010296822,1.1663918495178223,0.8638540506362915,0.4095040635627222,33
52,no_ace_heuristic,11,0.25517104388702483,0.2712537671128909,1.150407075881958,0.9035953879356384,0.39241004646805105,33
52,no_ace_heuristic,12,0.23254138089361645,0.2626196506122748,1.200417160987854,0.9204705357551575,0.35353296767136794,33
52,no_ace_heuristic,13,0.22625023836181277,0.2602868862450123,1.2162355184555054,0.8956431150436401,0.3680025195007365,33
52,no_ace_heuristic,14,0.22776367905594053,0.2665617310752471,1.2172870635986328,0.9212595224380493,0.37067947407134516,33
