model,feature_set,n_seeds,n_features_mean,test_threshold_mean,test_threshold_std,test_acc_mean,test_acc_std,test_bacc_mean,test_bacc_std,test_auc_mean,test_auc_std,test_auprc_mean,test_auprc_std,test_f1_mean,test_f1_std,test_mcc_mean,test_mcc_std,test_precision_mean,test_precision_std,test_sensitivity_mean,test_sensitivity_std,test_specificity_mean,test_specificity_std
ESM2-LR,ESM2,5,320.0,0.5239999999999999,0.2553037406698147,0.8484848484848484,0.028345889293741957,0.8452682926829269,0.023408027523229194,0.9260487804878048,0.013992434430678855,0.8899560377926367,0.022791530465061022,0.8061514035909998,0.030038416981594228,0.6941361542659378,0.04837369901224419,0.7994330602539931,0.09795970576947097,0.8320000000000001,0.10353743284435825,0.8585365853658538,0.09190948137276472
ESM2-SVC,ESM2,5,320.0,0.43599999999999994,0.17896927110540511,0.8090909090909092,0.043651091790569516,0.7995121951219513,0.047783718562569674,0.9010731707317075,0.014869649768423412,0.8468803398496949,0.026105312654070865,0.7466873879808837,0.06349393476822376,0.6158609776055703,0.07664376077163818,0.7717969612087259,0.11022751009565152,0.76,0.1697056274847714,0.8390243902439025,0.12626516200531496
ESM2-CatBoost,ESM2,5,320.0,0.5199999999999999,0.19710403344427022,0.7969696969696969,0.040937139654867574,0.7819512195121952,0.05455242145401187,0.8831219512195123,0.02235828528488778,0.8162725460860836,0.021626385162123934,0.7244548401873655,0.07114632069464691,0.5716706526862811,0.09382393939168047,0.7429749694749695,0.05657125018893546,0.72,0.13564659966250533,0.8439024390243903,0.06121902633176163
ESM2-RF,ESM2,5,320.0,0.42799999999999994,0.08642916174532758,0.7848484848484849,0.04338733655538289,0.7753170731707316,0.052451615051162276,0.8737560975609755,0.022979700324585003,0.8154093468429366,0.0243815101511715,0.7159957340108728,0.06988751383588557,0.5613381831649213,0.08618618481338541,0.7285909850383534,0.09122129025413395,0.736,0.1687601848778319,0.8146341463414635,0.11256566594355441
ESM2-MLP,ESM2,5,320.0,0.5499999999999999,0.14456832294800961,0.7696969696969698,0.032847702104058796,0.7459512195121951,0.06659331677714607,0.8866341463414635,0.02599043433607817,0.8253484393569789,0.03030871709120669,0.6625379721822271,0.1210419628695962,0.5185392992749679,0.07836441416661731,0.7458313881107997,0.09137332352157201,0.648,0.2216303228351211,0.8439024390243901,0.09694930202122824
