model,split,rmse,mae,spearman,params
A1Flat-Ridge,val,1.1799650186818593,0.9417546452099568,0.3528331102672872,"{""alpha"": 1.0}"
A1Flat-Ridge,test,1.1185987933518065,0.8695253733600332,0.5063032012031807,"{""alpha"": 1.0}"
A1Flat-SVR,val,1.1305262952359862,0.8724502716183485,0.4197919674027086,"{""C"": 2.0, ""epsilon"": 0.1, ""kernel"": ""rbf""}"
A1Flat-SVR,test,1.0383905163665172,0.7702107239303958,0.6319298032918159,"{""C"": 2.0, ""epsilon"": 0.1, ""kernel"": ""rbf""}"
A1Flat-CatBoost,val,1.154791447504868,0.9542038897560017,0.39631175149580095,"{""depth"": 6, ""learning_rate"": 0.05, ""iterations"": 300}"
A1Flat-CatBoost,test,1.1226506678883998,0.8213077154397697,0.4272179308075496,"{""depth"": 6, ""learning_rate"": 0.05, ""iterations"": 300}"
