epoch,train_loss,val_loss,val_rmse,val_mae,val_spearman
1,0.863990775176457,0.4916740556557973,1.3546504974365234,1.1721293926239014,-0.0038667459851248805
2,0.4138785884493873,0.378614862759908,1.2032053470611572,0.999904215335846,0.5053889492322723
3,0.2984307436715989,0.393099844455719,1.24148690700531,1.0031589269638062,0.38214298217697973
4,0.27421223904405323,0.38419469197591144,1.2204153537750244,0.9893166422843933,0.38565979639874487
5,0.275199355114074,0.3958251277605693,1.2338882684707642,0.987809419631958,0.3748294083227616
6,0.25191740691661835,0.3794643779595693,1.2180569171905518,0.952238917350769,0.45307415060999445
7,0.2591320354314077,0.37357964118321735,1.218861699104309,0.9610092043876648,0.40544843761673693
8,0.2516306596142905,0.3750416934490204,1.1929984092712402,0.955612063407898,0.4314483676343639
9,0.23715760594322569,0.3678293625513713,1.2097573280334473,0.9539920091629028,0.43031108940344487
10,0.2338463000598408,0.3746477762858073,1.2154388427734375,0.9826120734214783,0.4402841446591968
11,0.24255665285246714,0.3505205313364665,1.200112223625183,0.9404853582382202,0.47543479028868046
12,0.2172789793638956,0.38706738750139874,1.2285910844802856,0.9545044898986816,0.37829373278002276
13,0.21310385352089292,0.3517599006493886,1.179992914199829,0.9320175051689148,0.4885922245910058
14,0.20499751291104726,0.3915722370147705,1.2125089168548584,0.9851321578025818,0.4403541310118687
15,0.1998954372746604,0.359036256869634,1.2173939943313599,0.9637117385864258,0.40907023136751003
16,0.18335435149215518,0.3815646767616272,1.2303425073623657,0.9603337049484253,0.4172236414537914
17,0.17655315498510996,0.3952793876330058,1.253223180770874,0.9936197400093079,0.39837981599687056
18,0.17117219205413545,0.36958778897921246,1.245378017425537,1.000612497329712,0.3931133429583069
19,0.16932483265797296,0.3662664194901784,1.2411342859268188,0.9878785014152527,0.3938831928376982
20,0.15728021625961577,0.38435156146685284,1.2999887466430664,0.9789010286331177,0.41585890757668853
21,0.15688313295443854,0.3671095569928487,1.2435429096221924,0.9865304231643677,0.41036497889194096
22,0.15663769238051914,0.3594723542531331,1.2446714639663696,0.9933103322982788,0.4167512335732558
23,0.1513134092092514,0.3765559295813243,1.2669397592544556,0.9599757790565491,0.3819330231189638
