model,test_rmse_mean,test_rmse_std,test_mae_mean,test_mae_std,test_spearman_mean,test_spearman_std
A1,1.08666996161143,0.06992350419561374,0.8269207874933878,0.044198417352675455,0.5002831439866161,0.1200986365976891
CatBoost,1.1379377775918567,0.06944745480913213,0.8791151016375115,0.07431289495615082,0.3615984170297221,0.04719431536364585
MeanPredictor,1.2424014375074355,0.07178889403649687,1.017248267192012,0.06373505399735588,0.0,0.0
Ridge,1.1315856075223696,0.0432177179309121,0.8938944285705676,0.022744886373782993,0.3967259886344612,0.12197838033624157
SVR,1.1478295049713496,0.046331990654942846,0.9166699444893883,0.028003305266217794,0.38336992214691373,0.07140272043952665
A1Flat-CatBoost,1.1147089934254912,0.09708477253607574,0.8503528566278314,0.10445600875576838,0.3620943044684175,0.0902660760472136
A1Flat-Ridge,1.1313012229738957,0.07987010894190223,0.8798906043872782,0.0664762842118987,0.43192347367953565,0.06881353576408876
A1Flat-SVR,1.0735700846997522,0.0786081971557267,0.8104184469241051,0.08949706921640249,0.4945558749566236,0.12081118481607853
