split_seed,run_seed,variant,epoch,train_loss,val_loss,val_rmse,val_mae,val_spearman,selection_score
52,3,DiagTokenLenHead,1,42.823390779041105,12.641059637069702,1.6106188297271729,1.319383978843689,0.2398236359433554,1.6106188297271729
52,3,DiagTokenLenHead,2,13.752642404465448,9.295062979062399,1.1893278360366821,1.0294402837753296,0.26818535724372594,1.1893278360366821
52,3,DiagTokenLenHead,3,10.994021120525542,9.383636434872946,1.201084017753601,1.0398186445236206,0.2724719838437203,1.201084017753601
52,3,DiagTokenLenHead,4,10.086746261233376,9.6431192557017,1.2249350547790527,1.0609090328216553,0.3101243121832622,1.2249350547790527
52,3,DiagTokenLenHead,5,10.407533305031913,9.084604263305664,1.1858981847763062,1.009790301322937,0.27205206940127186,1.1858981847763062
52,3,DiagTokenLenHead,6,10.041175683339437,8.176488280296326,1.124739170074463,0.9230345487594604,0.29598719262083195,1.124739170074463
52,3,DiagTokenLenHead,7,9.659599440438408,8.64135722319285,1.1504091024398804,0.9742630124092102,0.19893446710994028,1.1504091024398804
52,3,DiagTokenLenHead,8,10.057723340534029,7.8483574986457825,1.1099928617477417,0.8852612972259521,0.301008669495111,1.1099928617477417
52,3,DiagTokenLenHead,9,9.834428719111852,7.550617555777232,1.1228352785110474,0.8583714365959167,0.2879563289090059,1.1228352785110474
52,3,DiagTokenLenHead,10,9.830087139492942,7.573855419953664,1.1102954149246216,0.8619844317436218,0.2996789404273577,1.1102954149246216
52,3,DiagTokenLenHead,11,9.624655678158714,8.889678478240967,1.1676833629608154,0.996729850769043,0.1585351984593816,1.1676833629608154
52,3,DiagTokenLenHead,12,9.695038545699347,8.205855031808218,1.1423523426055908,0.921735405921936,0.3534454854958578,1.1423523426055908
52,3,DiagTokenLenHead,13,9.592603433699836,7.806044002374013,1.1298446655273438,0.8783650994300842,0.3279881724224222,1.1298446655273438
52,3,DiagTokenLenHead,14,9.420020761943999,7.797974805037181,1.1281071901321411,0.881394624710083,0.30928448329836533,1.1281071901321411
52,3,DiagTokenLenHead,15,8.906536965143113,7.472757279872894,1.1020491123199463,0.8487335443496704,0.3453096431734196,1.1020491123199463
52,3,DiagTokenLenHead,16,9.354757172720772,7.2676379680633545,1.111884593963623,0.8313304781913757,0.34112799518403747,1.111884593963623
52,3,DiagTokenLenHead,17,8.999621822720481,7.225676894187927,1.1103875637054443,0.8346689939498901,0.3809848743464336,1.1103875637054443
52,3,DiagTokenLenHead,18,9.304411661057244,7.576875776052475,1.1006112098693848,0.868503987789154,0.37893779143949746,1.1006112098693848
52,3,DiagTokenLenHead,19,9.410766238257999,8.884664932886759,1.199906587600708,0.9896567463874817,0.2674505069694412,1.199906587600708
52,3,DiagTokenLenHead,20,9.703784420376731,7.8136503001054125,1.1080224514007568,0.8910180926322937,0.4403327822124773,1.1080224514007568
52,3,DiagTokenLenHead,21,9.118201392037529,8.65002053976059,1.1878281831741333,0.9629008769989014,0.37584092242644035,1.1878281831741333
52,3,DiagTokenLenHead,22,8.956649916512626,8.682301700115204,1.188154935836792,0.9704392552375793,0.40266295743783337,1.188154935836792
52,3,DiagTokenLenHead,23,9.14314926238287,7.937063535054524,1.1419929265975952,0.9028922319412231,0.37650578696031706,1.1419929265975952
52,3,DiagTokenLenHead,24,8.785568237304688,7.8003733058770495,1.1392823457717896,0.8867813944816589,0.3779055017684784,1.1392823457717896
52,3,DiagTokenLenHead,25,8.545604705810547,7.788184195756912,1.1197696924209595,0.8944743275642395,0.35372542845749005,1.1197696924209595
52,3,DiagTokenLenHead,26,8.928486619676862,7.59732523560524,1.120436668395996,0.8627027273178101,0.39912867754722586,1.120436668395996
52,3,DiagTokenLenHead,27,9.10583057857695,8.138588607311249,1.1501246690750122,0.9250893592834473,0.41039638175292514,1.1501246690750122
52,3,DiagTokenLenHead,28,8.798826376597086,7.782262921333313,1.1316701173782349,0.8870706558227539,0.356612340249323,1.1316701173782349
