seed,variant,epoch,train_loss,val_loss,val_rmse,val_mae,val_spearman
52,A1FlatMLP-tiny,1,41.248406728108726,22.000120321909588,2.420370101928711,2.1083197593688965,0.03894706453709121
52,A1FlatMLP-tiny,2,27.96845090956915,16.43373505274455,1.9005308151245117,1.6486574411392212,0.1567330656438738
52,A1FlatMLP-tiny,3,19.650275911603654,12.793714761734009,1.5270875692367554,1.3303018808364868,0.2104996107123739
52,A1FlatMLP-tiny,4,13.522832825070335,10.438427845637003,1.2870383262634277,1.130383014678955,0.2752539170249411
52,A1FlatMLP-tiny,5,10.901866776602608,9.429263432820639,1.1991580724716187,1.0428553819656372,0.2921204804632861
52,A1FlatMLP-tiny,6,10.329641977945963,9.069702982902527,1.168370008468628,1.0111098289489746,0.267223053313115
52,A1FlatMLP-tiny,7,10.193454674312047,8.693921407063803,1.1413379907608032,0.9735330939292908,0.2676779606257675
52,A1FlatMLP-tiny,8,9.600340048472086,8.612535774707794,1.1687873601913452,0.9589500427246094,0.29833171492450233
52,A1FlatMLP-tiny,9,9.468062627883185,8.442218760649363,1.1659505367279053,0.9399139285087585,0.32977280880282794
52,A1FlatMLP-tiny,10,8.899780886513847,8.60640263557434,1.1892805099487305,0.9501570463180542,0.3413904417105677
52,A1FlatMLP-tiny,11,8.971007733117967,8.656394163767496,1.1945226192474365,0.9549509286880493,0.2964071070632804
52,A1FlatMLP-tiny,12,8.981246403285436,8.483223060766855,1.1799724102020264,0.9403179883956909,0.32674592553017895
52,A1FlatMLP-tiny,13,8.658016318366641,8.535088757673899,1.1805553436279297,0.9461293816566467,0.2618516477367956
52,A1FlatMLP-tiny,14,8.622789428347634,8.978613674640656,1.25159752368927,0.9875063300132751,0.3247338354934469
52,A1FlatMLP-tiny,15,8.304940439405895,8.509563873211542,1.2033393383026123,0.945392370223999,0.3522032386036146
52,A1FlatMLP-tiny,16,8.00190357934861,8.553159157435099,1.2176493406295776,0.9427132606506348,0.3428251493889331
52,A1FlatMLP-tiny,17,7.854545457022531,8.076115568478903,1.1678682565689087,0.9062327742576599,0.3848340900688774
