model,step,feature_set,n_features,test_rmse_mean,test_rmse_std,test_mae_mean,test_mae_std,test_spearman_mean,test_spearman_std,test_top5_hit_rate_mean,test_top10_hit_rate_mean,test_top20_hit_rate_mean,test_strong_n_mean,test_strong_mae_mean,test_strong_rmse_mean,test_strong_bias_mean,val_rmse_mean,val_rmse_std
A1FlatSelected-TunedSVR,02_selected_svr_baseline,A1FlatSelected_k200,200,1.0533709865535759,0.02780874844565124,0.7746857510385845,0.01774586743711234,0.4922708147303276,0.11045779076710494,0.4,0.45,0.625,3.0,1.9207615025368137,2.0883790356976846,-1.9207615025368137,0.9887625129477527,0.03171299607502339
A1FlatDiagCorePair-TunedSVR,01_anchor_baseline,A1FlatDiagCorePair,700,1.0623499238251062,0.0781211158908964,0.8160184364547196,0.07517677256561789,0.504663061639511,0.07281859019702709,0.3333333333333333,0.3333333333333333,0.6,2.6666666666666665,1.7042858605976174,1.8518574033763222,-1.7042858605976174,1.0921479771224727,0.09498318652926735
A1FlatFull-GroupWeightedSVR-equal_weight,03_full_group_weighted_svr,A1FlatFull_GroupWeighted,906,1.0675574978868847,0.07522402738600983,0.8207650277851607,0.07733538992401987,0.48605246305195243,0.08301700823936393,0.3333333333333333,0.3333333333333333,0.6,2.6666666666666665,1.761570106402317,1.905387831130218,-1.761570106402317,1.0983708294075691,0.08373835130020085
A1FlatFull-TunedSVR,01_anchor_baseline,A1FlatFull,906,1.0675574978868847,0.07522402738600983,0.8207650277851607,0.07733538992401987,0.48605246305195243,0.08301700823936393,0.3333333333333333,0.3333333333333333,0.6,2.6666666666666665,1.761570106402317,1.905387831130218,-1.761570106402317,1.0983708294075691,0.08373835130020085
A1FlatDiagCoreTerminalPair-TunedSVR,01_anchor_baseline,A1FlatDiagCoreTerminalPair,775,1.0707681167660426,0.06915785677197682,0.8197519109383445,0.07082844067832472,0.4889218313134922,0.07518558120041731,0.3333333333333333,0.3333333333333333,0.5499999999999999,2.6666666666666665,1.7007440411638262,1.844421417556025,-1.7007440411638262,1.0921490814224903,0.09526190188210094
A1FlatSelectedK400-GroupWeightedSVR-equal_weight,04_selected_group_weighted_svr,A1FlatSelected_k400_GroupWeighted,400,1.0713142427103413,0.06391082538216648,0.8173327437832952,0.07574755943572949,0.48093757006676324,0.08403988941798063,0.3333333333333333,0.4000000000000001,0.6,2.6666666666666665,1.8257244020874854,1.9542180234481006,-1.8257244020874854,1.0993255114347464,0.0838076978239764
A1FlatNoHeur-TunedSVR,01_anchor_baseline,A1FlatNoHeur,831,1.072639539823265,0.07039608986675505,0.8186016884880981,0.07356799109054195,0.4686024094861927,0.08749653690468469,0.3333333333333333,0.3333333333333333,0.6,2.6666666666666665,1.7237694237342245,1.8661325601824401,-1.7237694237342245,1.0901131542864901,0.09332902907073538
A1FlatNoPairwise-TunedSVR,01_anchor_baseline,A1FlatNoPairwise,456,1.0732378469137496,0.08641983124404842,0.8162022046698008,0.07829486697104841,0.4804479019891407,0.1654742347306336,0.26666666666666666,0.43333333333333335,0.5499999999999999,2.6666666666666665,1.7544338846802672,1.8113704160983757,-1.7544338846802672,1.097736100160636,0.08453372582756018
A1FlatSelectedK200-GroupWeightedSVR-diag3_pair_light,04_selected_group_weighted_svr,A1FlatSelected_k200_GroupWeighted,200,1.0760994524167693,0.07444999857092251,0.8110894153233689,0.05796164396591288,0.5008663488464736,0.1314414108945514,0.4666666666666666,0.4000000000000001,0.5666666666666667,2.6666666666666665,1.9951842581796797,2.079193242912193,-1.9951842581796797,1.0732650330754525,0.1167727496785697
A1FlatSelectedK200-GroupWeightedSVR-diag3_pair_noheur,04_selected_group_weighted_svr,A1FlatSelected_k200_GroupWeighted,200,1.076183165321807,0.07423939695238159,0.8113939578363035,0.057755818407612076,0.4996940727960957,0.12954384826170112,0.4666666666666666,0.4000000000000001,0.5833333333333334,2.6666666666666665,1.994632492076655,2.0784773306080253,-1.994632492076655,1.0734331551049334,0.11752130670527118
A1FlatDiagOnly-TunedSVR,01_anchor_baseline,A1FlatDiagOnly,375,1.0771073731258418,0.0918512446539876,0.8163416767411099,0.07700897159528436,0.48948774806650214,0.12835261628311084,0.4000000000000001,0.4000000000000001,0.5666666666666667,2.6666666666666665,1.783248092223155,1.8523312021244716,-1.783248092223155,1.0873832767447589,0.09322562975584191
A1FlatFull-GroupWeightedSVR-diag2_corepair_only,03_full_group_weighted_svr,A1FlatFull_GroupWeighted,906,1.0781907629998144,0.08412470187130767,0.8158445247334861,0.0809756948601248,0.48795971361825136,0.11434316818717154,0.4000000000000001,0.39999999999999997,0.5833333333333334,2.6666666666666665,1.7440789563150092,1.8543512613146442,-1.7440789563150092,1.085686003864393,0.09489824118222535
A1FlatFull-GroupWeightedSVR-diag1p5_pair_aux,03_full_group_weighted_svr,A1FlatFull_GroupWeighted,906,1.0793944010041752,0.09428838382088323,0.8211558754383393,0.08375284682915196,0.48064021965478215,0.0980571457304355,0.4000000000000001,0.3666666666666667,0.5666666666666667,2.6666666666666665,1.767432574123787,1.8965406760234798,-1.767432574123787,1.0858989763099283,0.09080286407345324
A1FlatFull-GroupWeightedSVR-diag2_pair_noheur,03_full_group_weighted_svr,A1FlatFull_GroupWeighted,906,1.0796796245132627,0.08408199564533671,0.8154135779457922,0.08014124009221822,0.48300233125547015,0.11655686558153965,0.4000000000000001,0.39999999999999997,0.5833333333333334,2.6666666666666665,1.7348941470241446,1.8455606564292781,-1.7348941470241446,1.0844459733895049,0.09495636654509601
A1FlatFull-GroupWeightedSVR-diag2_pair_aux,03_full_group_weighted_svr,A1FlatFull_GroupWeighted,906,1.0800933030237416,0.08195886404019925,0.8163737742145541,0.07829136662656223,0.48403463623325066,0.11524171341766093,0.4000000000000001,0.39999999999999997,0.5666666666666667,2.6666666666666665,1.740173126030158,1.8495759079450511,-1.740173126030158,1.085574713300389,0.09500843319711899
A1FlatSelectedK400-GroupWeightedSVR-diag1p5_pair_aux,04_selected_group_weighted_svr,A1FlatSelected_k400_GroupWeighted,400,1.0804248288836045,0.0984524468524377,0.8204684103095286,0.08820628762230166,0.46852677365200424,0.12686477423274573,0.3333333333333333,0.3666666666666667,0.5666666666666667,2.6666666666666665,1.771385226307811,1.8999225764453191,-1.771385226307811,1.0842965969669545,0.09239886453775611
A1FlatSelectedK400-GroupWeightedSVR-diag2_corepair_only,04_selected_group_weighted_svr,A1FlatSelected_k400_GroupWeighted,400,1.0823656932402903,0.08857272444859964,0.825060277569308,0.08252743875365429,0.49678385058909996,0.11105698687462845,0.3333333333333333,0.3666666666666667,0.5833333333333334,2.6666666666666665,1.7677252343900955,1.864306751750737,-1.7677252343900955,1.08737482148851,0.09470584884533798
A1FlatSelectedK200-GroupWeightedSVR-equal_weight,04_selected_group_weighted_svr,A1FlatSelected_k200_GroupWeighted,200,1.0858814137269877,0.05964433644571731,0.81113912665442,0.06437393639443956,0.45105324966126065,0.10581646743887779,0.3333333333333333,0.43333333333333335,0.5499999999999999,2.6666666666666665,1.9140862737824325,2.0788610019942335,-1.9140862737824325,1.0594349306183968,0.1244452848374303
A1FlatSelectedK400-GroupWeightedSVR-diag3_pair_noheur,04_selected_group_weighted_svr,A1FlatSelected_k400_GroupWeighted,400,1.086665421280203,0.0864751977498796,0.8253187017698823,0.0778019864498368,0.4887586317175114,0.09918934133469565,0.3333333333333333,0.4000000000000001,0.6,2.6666666666666665,1.8013686212866886,1.9002094993509402,-1.8013686212866886,1.0751643927708499,0.09810030546578465
