model,step,feature_set,n_runs,seeds,n_features,test_rmse_mean,test_rmse_std,test_mae_mean,test_spearman_mean,test_top5_hit_rate_mean,test_top10_hit_rate_mean,test_top20_hit_rate_mean,test_strong_mae_mean,test_strong_bias_mean,val_rmse_mean
A1FlatSelected-TunedSVR,02_selected_svr_baseline,A1FlatSelected_k200,2,"52,62",200,1.0533709865535756,0.027808748445651003,0.7746857510385845,0.4922708147303275,0.4,0.45,0.625,1.9207615025368137,-1.9207615025368137,0.9887625129477526
A1FlatDiagCorePair-TunedSVR,01_anchor_baseline,A1FlatDiagCorePair,3,"42,52,62",700,1.0623499238251062,0.07812111589089649,0.8160184364547196,0.504663061639511,0.3333333333333333,0.3333333333333333,0.6,1.7042858605976174,-1.7042858605976174,1.0921479771224727
A1FlatFull-GroupWeightedSVR-equal_weight,03_full_group_weighted_svr,A1FlatFull_GroupWeighted,3,"42,52,62",906,1.0675574978868847,0.07522402738600983,0.8207650277851606,0.48605246305195243,0.3333333333333333,0.3333333333333333,0.6,1.761570106402317,-1.761570106402317,1.0983708294075691
A1FlatFull-TunedSVR,01_anchor_baseline,A1FlatFull,3,"42,52,62",906,1.0675574978868847,0.07522402738600983,0.8207650277851606,0.48605246305195243,0.3333333333333333,0.3333333333333333,0.6,1.761570106402317,-1.761570106402317,1.0983708294075691
A1FlatDiagCoreTerminalPair-TunedSVR,01_anchor_baseline,A1FlatDiagCoreTerminalPair,3,"42,52,62",775,1.0707681167660426,0.06915785677197674,0.8197519109383445,0.4889218313134922,0.3333333333333333,0.3333333333333333,0.5499999999999999,1.7007440411638262,-1.7007440411638262,1.0921490814224903
A1FlatSelectedK400-GroupWeightedSVR-equal_weight,04_selected_group_weighted_svr,A1FlatSelected_k400_GroupWeighted,3,"42,52,62",400,1.071314242710341,0.06391082538216646,0.8173327437832952,0.48093757006676324,0.3333333333333333,0.4000000000000001,0.6,1.8257244020874859,-1.8257244020874859,1.0993255114347464
A1FlatNoHeur-TunedSVR,01_anchor_baseline,A1FlatNoHeur,3,"42,52,62",831,1.072639539823265,0.07039608986675498,0.8186016884880981,0.4686024094861927,0.3333333333333333,0.3333333333333333,0.6,1.7237694237342245,-1.7237694237342245,1.0901131542864901
A1FlatNoPairwise-TunedSVR,01_anchor_baseline,A1FlatNoPairwise,3,"42,52,62",456,1.0732378469137496,0.08641983124404852,0.8162022046698008,0.4804479019891407,0.26666666666666666,0.43333333333333335,0.5499999999999999,1.7544338846802672,-1.7544338846802672,1.0977361001606363
A1FlatSelectedK200-GroupWeightedSVR-diag3_pair_light,04_selected_group_weighted_svr,A1FlatSelected_k200_GroupWeighted,3,"42,52,62",200,1.0760994524167693,0.07444999857092251,0.8110894153233689,0.5008663488464736,0.4666666666666666,0.4000000000000001,0.5666666666666667,1.9951842581796797,-1.9951842581796797,1.0732650330754525
A1FlatSelectedK200-GroupWeightedSVR-diag3_pair_noheur,04_selected_group_weighted_svr,A1FlatSelected_k200_GroupWeighted,3,"42,52,62",200,1.076183165321807,0.07423939695238159,0.8113939578363035,0.4996940727960957,0.4666666666666666,0.4000000000000001,0.5833333333333334,1.994632492076655,-1.994632492076655,1.0734331551049334
A1FlatDiagOnly-TunedSVR,01_anchor_baseline,A1FlatDiagOnly,3,"42,52,62",375,1.0771073731258418,0.0918512446539876,0.8163416767411099,0.48948774806650214,0.4000000000000001,0.4000000000000001,0.5666666666666667,1.783248092223155,-1.783248092223155,1.0873832767447589
A1FlatFull-GroupWeightedSVR-diag2_corepair_only,03_full_group_weighted_svr,A1FlatFull_GroupWeighted,3,"42,52,62",906,1.0781907629998144,0.08412470187130777,0.8158445247334861,0.48795971361825136,0.4000000000000001,0.39999999999999997,0.5833333333333334,1.7440789563150092,-1.7440789563150092,1.085686003864393
A1FlatFull-GroupWeightedSVR-diag1p5_pair_aux,03_full_group_weighted_svr,A1FlatFull_GroupWeighted,3,"42,52,62",906,1.0793944010041752,0.09428838382088323,0.8211558754383393,0.4806402196547821,0.4000000000000001,0.3666666666666667,0.5666666666666667,1.767432574123787,-1.767432574123787,1.0858989763099283
A1FlatFull-GroupWeightedSVR-diag2_pair_noheur,03_full_group_weighted_svr,A1FlatFull_GroupWeighted,3,"42,52,62",906,1.0796796245132627,0.08408199564533679,0.8154135779457922,0.4830023312554701,0.4000000000000001,0.39999999999999997,0.5833333333333334,1.7348941470241446,-1.7348941470241446,1.0844459733895049
A1FlatFull-GroupWeightedSVR-diag2_pair_aux,03_full_group_weighted_svr,A1FlatFull_GroupWeighted,3,"42,52,62",906,1.0800933030237416,0.08195886404019925,0.8163737742145541,0.48403463623325066,0.4000000000000001,0.39999999999999997,0.5666666666666667,1.7401731260301583,-1.7401731260301583,1.085574713300389
A1FlatSelectedK400-GroupWeightedSVR-diag1p5_pair_aux,04_selected_group_weighted_svr,A1FlatSelected_k400_GroupWeighted,3,"42,52,62",400,1.0804248288836045,0.0984524468524377,0.8204684103095286,0.46852677365200424,0.3333333333333333,0.3666666666666667,0.5666666666666667,1.7713852263078105,-1.7713852263078105,1.0842965969669545
A1FlatSelectedK400-GroupWeightedSVR-diag2_corepair_only,04_selected_group_weighted_svr,A1FlatSelected_k400_GroupWeighted,3,"42,52,62",400,1.08236569324029,0.08857272444859954,0.825060277569308,0.49678385058909996,0.3333333333333333,0.3666666666666667,0.5833333333333334,1.7677252343900955,-1.7677252343900955,1.08737482148851
A1FlatSelectedK200-GroupWeightedSVR-equal_weight,04_selected_group_weighted_svr,A1FlatSelected_k200_GroupWeighted,3,"42,52,62",200,1.0858814137269877,0.059644336445717414,0.81113912665442,0.45105324966126054,0.3333333333333333,0.43333333333333335,0.5499999999999999,1.9140862737824325,-1.9140862737824325,1.0594349306183968
A1FlatSelectedK400-GroupWeightedSVR-diag3_pair_noheur,04_selected_group_weighted_svr,A1FlatSelected_k400_GroupWeighted,3,"42,52,62",400,1.086665421280203,0.0864751977498796,0.8253187017698823,0.4887586317175114,0.3333333333333333,0.4000000000000001,0.6,1.8013686212866886,-1.8013686212866886,1.0751643927708499
A1FlatSelectedK400-GroupWeightedSVR-diag3_pair_light,04_selected_group_weighted_svr,A1FlatSelected_k400_GroupWeighted,3,"42,52,62",400,1.0868171675482767,0.08654626580722632,0.8252651663537036,0.4882687270447145,0.3333333333333333,0.4000000000000001,0.6,1.8010809913240509,-1.8010809913240509,1.0754239317862038
A1FlatSelectedK200-GroupWeightedSVR-diag1p5_pair_aux,04_selected_group_weighted_svr,A1FlatSelected_k200_GroupWeighted,3,"42,52,62",200,1.0906712348414618,0.06631303019539712,0.8183423312128403,0.4539343702281075,0.4000000000000001,0.4000000000000001,0.5166666666666667,1.9342660291938196,-1.9342660291938196,1.0610032820355626
A1FlatSelectedK400-GroupWeightedSVR-diag4_pair_verylight,04_selected_group_weighted_svr,A1FlatSelected_k400_GroupWeighted,3,"42,52,62",400,1.091895674074362,0.0869972299531042,0.8317119069705984,0.48254731148750607,0.3333333333333333,0.4000000000000001,0.5666666666666667,1.8079254448725017,-1.8079254448725017,1.082508819281432
A1FlatPairOnly-TunedSVR,01_anchor_baseline,A1FlatPairOnly,3,"42,52,62",450,1.096518920393937,0.03283483052322419,0.8557251585198841,0.4584657248139405,0.3333333333333333,0.39999999999999997,0.5666666666666668,1.6389430956915672,-1.6389430956915672,1.1241403877535456
A1FlatSelectedK400-GroupWeightedSVR-diag2_pair_noheur,04_selected_group_weighted_svr,A1FlatSelected_k400_GroupWeighted,3,"42,52,62",400,1.097314543986273,0.11677494990706433,0.8289889579276415,0.46384350384055156,0.3333333333333333,0.3333333333333333,0.5666666666666667,1.7526808209612943,-1.7526808209612943,1.0849587591711956
A1FlatSelectedK400-GroupWeightedSVR-diag2_pair_aux,04_selected_group_weighted_svr,A1FlatSelected_k400_GroupWeighted,3,"42,52,62",400,1.0990802108101438,0.11223270027616185,0.8336899755073394,0.4700315343702026,0.3333333333333333,0.3333333333333333,0.5833333333333334,1.7511119936280999,-1.7511119936280999,1.086442834318164
A1FlatSelectedK200-GroupWeightedSVR-diag4_pair_verylight,04_selected_group_weighted_svr,A1FlatSelected_k200_GroupWeighted,3,"42,52,62",200,1.104139867894965,0.07851780875334367,0.8389841639645953,0.46694620673272347,0.3333333333333333,0.26666666666666666,0.5333333333333333,2.116676475774283,-2.116676475774283,1.0745027770969495
A1FlatFull-GroupWeightedSVR-diag4_pair_verylight,03_full_group_weighted_svr,A1FlatFull_GroupWeighted,3,"42,52,62",906,1.1055242323100385,0.13640890730282573,0.8516264838017223,0.4625605656144856,0.4000000000000001,0.3666666666666667,0.5333333333333333,1.8103145571237969,-1.8103145571237969,1.0881794091661094
A1FlatSelectedK200-GroupWeightedSVR-diag2_pair_aux,04_selected_group_weighted_svr,A1FlatSelected_k200_GroupWeighted,3,"42,52,62",200,1.1075335884290711,0.09864995586915007,0.8343711120332352,0.4506509694680169,0.4000000000000001,0.4000000000000001,0.5666666666666667,2.0115271737789286,-2.0115271737789286,1.0653648316900697
A1FlatSelectedK50-GroupWeightedSVR-equal_weight,04_selected_group_weighted_svr,A1FlatSelected_k50_GroupWeighted,3,"42,52,62",50,1.1083562296918024,0.03695975057969893,0.8620509944328733,0.4583317128324171,0.3333333333333333,0.3,0.5499999999999999,1.8189916993784465,-1.8189916993784465,1.101217244729175
A1FlatFull-GroupWeightedSVR-diag3_pair_light,03_full_group_weighted_svr,A1FlatFull_GroupWeighted,3,"42,52,62",906,1.1091523583412517,0.13327232044972862,0.8384824233472862,0.44264345770684993,0.4000000000000001,0.3666666666666667,0.5666666666666668,1.8401636262754149,-1.8401636262754149,1.085643302187028
A1FlatFull-GroupWeightedSVR-diag3_pair_noheur,03_full_group_weighted_svr,A1FlatFull_GroupWeighted,3,"42,52,62",906,1.1091735735550254,0.13342591451895397,0.8386869906613174,0.442520981589674,0.4000000000000001,0.3666666666666667,0.5666666666666668,1.8387430994525336,-1.8387430994525336,1.0853750924844296
A1FlatSelectedK100-GroupWeightedSVR-diag1p5_pair_aux,04_selected_group_weighted_svr,A1FlatSelected_k100_GroupWeighted,3,"42,52,62",100,1.1105968120479093,0.04938866297098895,0.8751793908557209,0.42961969618295975,0.4000000000000001,0.3333333333333333,0.5,1.8424570953342654,-1.8424570953342654,1.0988368066274745
A1FlatSelectedK200-GroupWeightedSVR-diag2_corepair_only,04_selected_group_weighted_svr,A1FlatSelected_k200_GroupWeighted,3,"42,52,62",200,1.1120211558069228,0.09770689259496396,0.8391315133555296,0.44828308552163737,0.4000000000000001,0.4000000000000001,0.5666666666666667,1.9923809237887726,-1.9923809237887726,1.0692726408892868
A1FlatSelectedK100-GroupWeightedSVR-diag2_corepair_only,04_selected_group_weighted_svr,A1FlatSelected_k100_GroupWeighted,3,"42,52,62",100,1.112279156840785,0.04641201236167203,0.8742350279189166,0.4218161571933004,0.4666666666666666,0.3333333333333333,0.5,1.857918151515391,-1.857918151515391,1.1066583400165648
A1FlatSelectedK200-GroupWeightedSVR-diag2_pair_noheur,04_selected_group_weighted_svr,A1FlatSelected_k200_GroupWeighted,3,"42,52,62",200,1.1134796832456277,0.09843683409223447,0.840661403104532,0.44536697973809375,0.4000000000000001,0.4000000000000001,0.5666666666666667,1.9856914869997035,-1.9856914869997035,1.0679105227290266
A1FlatSelectedK100-GroupWeightedSVR-diag2_pair_aux,04_selected_group_weighted_svr,A1FlatSelected_k100_GroupWeighted,3,"42,52,62",100,1.115954626773082,0.04837922403156866,0.8779627300208598,0.41714456845858816,0.3333333333333333,0.3333333333333333,0.48333333333333334,1.865569132406466,-1.865569132406466,1.1034659409102876
A1FlatSelectedK100-GroupWeightedSVR-diag2_pair_noheur,04_selected_group_weighted_svr,A1FlatSelected_k100_GroupWeighted,3,"42,52,62",100,1.1178755111436918,0.046097632759544704,0.879628198954709,0.4173136978072291,0.3333333333333333,0.3333333333333333,0.5,1.862719639247353,-1.862719639247353,1.1064627080781704
A1FlatSelectedK100-GroupWeightedSVR-equal_weight,04_selected_group_weighted_svr,A1FlatSelected_k100_GroupWeighted,3,"42,52,62",100,1.1212498803327824,0.06947201156864857,0.8771363387088913,0.42319843857985323,0.3333333333333333,0.3,0.5333333333333333,1.8953203405156593,-1.8953203405156593,1.09134094609172
A1FlatSelected-TunedSVR,02_selected_svr_baseline,A1FlatSelected_k400,1,42,400,1.130952001245186,,0.899309350086996,0.4075830213732312,0.2,0.4,0.5,1.8854741337575425,-1.8854741337575425,1.1866443127170858
