feature_set,model,n_seeds,n_features_mean,n_features_std,selected_k_mode,test_threshold_mean,test_threshold_std,test_acc_mean,test_acc_std,test_bacc_mean,test_bacc_std,test_auc_mean,test_auc_std,test_auprc_mean,test_auprc_std,test_f1_mean,test_f1_std,test_mcc_mean,test_mcc_std,test_precision_mean,test_precision_std,test_sensitivity_mean,test_sensitivity_std,test_specificity_mean,test_specificity_std
ESM2,ESM2-LR,5,320.0,0.0,,0.462,0.20154403985233596,0.8454545454545455,0.03455077045754964,0.8459512195121951,0.035193693664712346,0.9320975609756097,0.008823741701147296,0.9022518749254196,0.007677561919944896,0.8054638423909559,0.04268609633922298,0.6885225469490053,0.062818641078889,0.779445701357466,0.07760691759901778,0.8480000000000001,0.10353743284435825,0.8439024390243903,0.08198895762912982
A1FlatSelected,A1FlatSelected-LR,5,180.0,44.721359549995796,200.0,0.5259999999999999,0.3169069263995345,0.8363636363636363,0.029144521305562648,0.8230243902439025,0.025976239543493176,0.9028292682926831,0.0160990391043467,0.8658815491771875,0.02295901780085474,0.7808107738583538,0.03435643056671977,0.6544538077563238,0.058794143527602157,0.8009316770186337,0.07346578728042441,0.768,0.05932958789676528,0.878048780487805,0.05974365226300433
A1FlatFull,A1FlatFull-LR,5,906.0,0.0,,0.5159999999999999,0.3111751918132292,0.8242424242424242,0.046205911157505795,0.8101463414634147,0.05027869976648372,0.8946341463414635,0.015594504744532455,0.8576422966166005,0.024218769982026402,0.7634194695105279,0.06711810717940866,0.6276296502872499,0.10131178289307766,0.7818840579710146,0.08247503677316868,0.752,0.09121403400793106,0.8682926829268294,0.05873948575020631
