seed,lite_mode,description,n_channels,best_epoch,best_monitor,best_metric,val_loss,val_rmse,val_mae,val_spearman,test_loss,test_rmse,test_mae,test_spearman
42,diag_lite,Only keep diagonal residue-level physicochemical and terminal channels.,15,8,val_rmse,1.163551688194275,0.34768567482630414,1.163551688194275,0.9123878479003906,0.4684011618451501,0.28313155472278595,1.1500699520111084,0.899658203125,0.37890611336590235
42,diag_terminal_pair_lite,Keep diagonal channels plus terminal/order pairwise structural channels.,20,13,val_rmse,1.212242841720581,0.36597394943237305,1.212242841720581,0.9615299701690674,0.42373237225228216,0.29773112138112384,1.1616097688674927,0.9318540096282959,0.35953739026394194
42,diag_core_pair_lite,Keep diagonal channels plus selected core pairwise physicochemical channels.,23,8,val_rmse,1.1851235628128052,0.3433233896891276,1.1851235628128052,0.9314927458763123,0.4634496273936101,0.27119700362284976,1.1316733360290527,0.8873128294944763,0.4314833608106998
42,diag_core_terminal_pair_lite,Keep diagonal channels plus selected core pairwise and terminal/order pairwise channels.,28,12,val_rmse,1.1465628147125244,0.3275481363137563,1.1465628147125244,0.895375669002533,0.5370402772281587,0.30863326291243237,1.208359718322754,0.9301409125328064,0.35497078075209765
42,diag_pair_no_heur,"Keep all diagonal and all pairwise channels, but remove ACE heuristic channels.",33,18,val_rmse,1.140786051750183,0.3201201756795247,1.140786051750183,0.8615638613700867,0.5643699479465527,0.3196679304043452,1.273377537727356,0.9521610736846924,0.3162508311363449
42,full,Use all A1 relation tensor channels.,36,18,val_rmse,1.1638151407241821,0.34237683812777203,1.1638151407241821,0.8947399258613586,0.4551212514256488,0.36022287607192993,1.2878614664077759,0.9991623759269714,0.1768905063783373
52,diag_lite,Only keep diagonal residue-level physicochemical and terminal channels.,15,3,val_rmse,1.1114200353622437,0.27281292776266736,1.1114200353622437,0.8779361844062805,0.4370609488484,0.2817599028348923,1.0712566375732422,0.8297615647315979,0.6043724358420108
52,diag_terminal_pair_lite,Keep diagonal channels plus terminal/order pairwise structural channels.,20,4,val_rmse,1.085976243019104,0.2519804735978444,1.085976243019104,0.8425772786140442,0.37732811941011185,0.2975668062766393,1.161702275276184,0.9008748531341553,0.5203530844172718
52,diag_core_pair_lite,Keep diagonal channels plus selected core pairwise physicochemical channels.,23,4,val_rmse,1.1125175952911377,0.2686396266023318,1.1125175952911377,0.8923991322517395,0.37613836182317467,0.27008747557799023,1.0890105962753296,0.8411340713500977,0.6328746273186665
52,diag_core_terminal_pair_lite,Keep diagonal channels plus selected core pairwise and terminal/order pairwise channels.,28,3,val_rmse,1.1043318510055542,0.2792411098877589,1.1043318510055542,0.8659966588020325,0.3914652389725421,0.2876043419043223,1.1355797052383423,0.8759128451347351,0.5568862801221562
52,diag_pair_no_heur,"Keep all diagonal and all pairwise channels, but remove ACE heuristic channels.",33,4,val_rmse,1.112471103668213,0.26497021565834683,1.112471103668213,0.8800526261329651,0.4343315049724853,0.2663843830426534,1.0660815238952637,0.8315834999084473,0.6158153046116441
52,full,Use all A1 relation tensor channels.,36,4,val_rmse,1.1424250602722168,0.25638865182797116,1.1424250602722168,0.8655812740325928,0.39996850643212256,0.24198543032010397,1.0801578760147095,0.8062092661857605,0.6375987474529188
62,diag_lite,Only keep diagonal residue-level physicochemical and terminal channels.,15,7,val_rmse,0.999880850315094,0.2748429626226425,0.999880850315094,0.7342265248298645,0.36522058631951565,0.2895173629124959,1.0087519884109497,0.7981048822402954,0.4728144384737033
62,diag_terminal_pair_lite,Keep diagonal channels plus terminal/order pairwise structural channels.,20,4,val_rmse,1.0100840330123901,0.3182558019955953,1.0100840330123901,0.767723560333252,0.3027583130053128,0.37651025255521137,1.195047378540039,0.9697884917259216,0.25261794999383225
62,diag_core_pair_lite,Keep diagonal channels plus selected core pairwise physicochemical channels.,23,2,val_rmse,1.0264703035354614,0.3258850524822871,1.0264703035354614,0.7811871767044067,0.3065375429873486,0.31272539496421814,1.0583785772323608,0.8445665240287781,0.4149527151997316
62,diag_core_terminal_pair_lite,Keep diagonal channels plus selected core pairwise and terminal/order pairwise channels.,28,2,val_rmse,1.0482518672943115,0.3210951288541158,1.0482518672943115,0.7829582095146179,0.33236228119792655,0.3114038010438283,1.0616991519927979,0.8366188406944275,0.48985626443948754
62,diag_pair_no_heur,"Keep all diagonal and all pairwise channels, but remove ACE heuristic channels.",33,6,val_rmse,1.0054726600646973,0.2790917456150055,1.0054726600646973,0.7239503860473633,0.3289154834828291,0.27521362404028576,0.9875262975692749,0.7468214631080627,0.48805410009197636
62,full,Use all A1 relation tensor channels.,36,1,val_rmse,1.031599521636963,0.3368568221728007,1.031599521636963,0.8130988478660583,0.2501640290886478,0.35107843081156415,1.1248290538787842,0.9238587617874146,0.2618212358850052
