seed,ablation_mode,epoch,train_loss,val_loss,val_rmse,val_mae,val_spearman,n_channels
52,no_terminal,1,0.8887102433613369,0.4276359478632609,1.3052295446395874,1.136843204498291,0.21909036034746457,28
52,no_terminal,2,0.3687238771291006,0.3161294062932332,1.1356195211410522,0.9383248686790466,0.24682220998416246,28
52,no_terminal,3,0.31546686093012494,0.2750515987475713,1.1487876176834106,0.8944445848464966,0.3507685309252492,28
52,no_terminal,4,0.30505017652398064,0.28969451288382214,1.1791824102401733,0.9329665303230286,0.30975688704611987,28
52,no_terminal,5,0.27300667266050976,0.26323054855068523,1.1661778688430786,0.8900600075721741,0.3697346665758362,28
52,no_terminal,6,0.26674436813309077,0.2855976050098737,1.2369436025619507,0.9508715867996216,0.3927949680402954,28
52,no_terminal,7,0.26167266212758566,0.2962762465079625,1.2203999757766724,0.9671321511268616,0.3291779300093594,28
52,no_terminal,8,0.252612673100971,0.27366824944814044,1.1808593273162842,0.9191553592681885,0.3921825928117248,28
52,no_terminal,9,0.24201451348406927,0.2510295398533344,1.2143160104751587,0.874995231628418,0.39410720067294674,28
52,no_terminal,10,0.23322309269791558,0.30883938322464627,1.2728605270385742,1.0100853443145752,0.33783866538485813,28
52,no_terminal,11,0.2321415486789885,0.28320832550525665,1.1813448667526245,0.9343840479850769,0.33860850852934693,28
52,no_terminal,12,0.2183477140608288,0.25598960742354393,1.1939442157745361,0.8783798217773438,0.37773053741745827,28
