seed,variant,input_dim,hidden_dims,dropout,lr,weight_decay,best_epoch,best_monitor,best_metric,val_loss,val_rmse,val_mae,val_spearman,test_loss,test_rmse,test_mae,test_spearman
42,A1FlatMLP-small,906,"[128, 64]",0.2,0.001,0.0001,4,val_rmse,1.22602117061615,9.435091733932495,1.22602117061615,1.0380314588546753,0.4961682472677437,8.209028760592142,1.150892972946167,0.9153902530670166,0.4435560066466101
42,A1FlatMLP-tiny,906,"[64, 32]",0.1,0.001,0.0001,25,val_rmse,1.2118786573410034,8.533986886342367,1.2118786573410034,0.9396566152572632,0.45974035070199715,8.189058780670166,1.1999552249908447,0.9320588111877441,0.33411484765585847
42,A1FlatMLP-wide,906,"[256, 128]",0.3,0.0008,0.0002,4,val_rmse,1.2296899557113647,9.044724543889364,1.2296899557113647,0.992264449596405,0.4278265738835908,7.4115846157073975,1.0938291549682617,0.8534330725669861,0.4614375197542917
52,A1FlatMLP-small,906,"[128, 64]",0.2,0.001,0.0001,6,val_rmse,1.1203619241714478,8.242779990037283,1.1203619241714478,0.9208454489707947,0.33451434271547476,7.861984312534332,1.1290185451507568,0.8904896974563599,0.5759402313303071
52,A1FlatMLP-tiny,906,"[64, 32]",0.1,0.001,0.0001,7,val_rmse,1.1413379907608032,8.693921407063803,1.1413379907608032,0.9735330939292908,0.2676779606257675,8.532570163408915,1.184134602546692,0.952394425868988,0.531918430375571
52,A1FlatMLP-wide,906,"[256, 128]",0.3,0.0008,0.0002,2,val_rmse,1.1173454523086548,8.054903666178385,1.1173454523086548,0.9112059473991394,0.3050503460036771,7.973153034845988,1.137518286705017,0.8992549180984497,0.5459158233659481
62,A1FlatMLP-small,906,"[128, 64]",0.2,0.001,0.0001,12,val_rmse,1.0251973867416382,6.619204918543498,1.0251973867416382,0.7762178778648376,0.30093868375470295,6.8408569892247515,1.0358120203018188,0.7984724044799805,0.4119257789655625
62,A1FlatMLP-tiny,906,"[64, 32]",0.1,0.001,0.0001,11,val_rmse,1.0426630973815918,6.683794736862183,1.0426630973815918,0.7806688547134399,0.31008931931305816,6.449268142382304,1.0122895240783691,0.7590668797492981,0.47255198735513376
62,A1FlatMLP-wide,906,"[256, 128]",0.3,0.0008,0.0002,4,val_rmse,1.0101041793823242,6.50895619392395,1.0101041793823242,0.7704319357872009,0.3523432100844307,7.0219054619471235,1.0372341871261597,0.8163970112800598,0.42056916913712045
