model,n_seeds,extra_dim_mean,test_threshold_mean,test_threshold_std,test_acc_mean,test_acc_std,test_bacc_mean,test_bacc_std,test_auc_mean,test_auc_std,test_auprc_mean,test_auprc_std,test_f1_mean,test_f1_std,test_mcc_mean,test_mcc_std,test_precision_mean,test_precision_std,test_sensitivity_mean,test_sensitivity_std,test_specificity_mean,test_specificity_std
GRUOnly,5,0.0,0.514,0.29602364770403056,0.6468085106382979,0.04412008798580367,0.6409774436090225,0.04065460752008753,0.6988721804511279,0.027932672358490465,0.6222501577470358,0.02138658992903882,0.5747981980719038,0.07298959129415349,0.289956283289385,0.07339666710061353,0.5670724529979424,0.047948989951093396,0.6105263157894736,0.18079541091913334,0.6714285714285714,0.1590188347206656
GRU_A1PCA,5,64.0,0.472,0.17239489551607962,0.6404255319148936,0.037157977013985086,0.6195488721804512,0.04485333249200073,0.6838345864661655,0.030050212844327316,0.5919276935389817,0.04758339920500773,0.5206174734630019,0.102514792029526,0.25332829342824004,0.08116155668418651,0.5800211416490486,0.08395675013490478,0.5105263157894736,0.1761389529545422,0.7285714285714286,0.12714987942084213
GRU_Descriptor_A1PCA,5,146.0,0.36,0.25298221281347033,0.5914893617021276,0.0791106061386307,0.6004699248120301,0.03270690195288,0.7034774436090225,0.011035731734790787,0.6176970735447445,0.022387977982916623,0.5414215277818091,0.08592318187614913,0.23771285477633,0.07238672439927564,0.5488775476243506,0.13052031954808752,0.6473684210526315,0.28863514911992133,0.5535714285714286,0.31993701548515924
GRU_Descriptor,5,82.0,0.422,0.20315019074566482,0.5978723404255321,0.0506856563811557,0.5965225563909774,0.030430307673999357,0.6928571428571428,0.03147373832031246,0.6211134262269752,0.02929014951145805,0.5237724355984199,0.0924365558702535,0.21091181722771096,0.05688693642482382,0.5259626426205373,0.06851573264705252,0.5894736842105264,0.24868072957742002,0.6035714285714285,0.2380431490640437
