iter	RMSE
0	1.11562754
1	1.106873479
2	1.09979367
3	1.090043648
4	1.081888994
5	1.072176327
6	1.063708534
7	1.056481399
8	1.049658113
9	1.041853076
10	1.03613619
11	1.029744147
12	1.023992793
13	1.019060381
14	1.014023098
15	1.008576638
16	1.002025087
17	0.9972823411
18	0.9938217076
19	0.987339739
20	0.9832081623
21	0.97875018
22	0.9739216448
23	0.9698639417
24	0.9656907547
25	0.963814763
26	0.9600005388
27	0.9564078563
28	0.955857781
29	0.9503715951
30	0.947331967
31	0.943006989
32	0.9409319696
33	0.9363882929
34	0.9327877794
35	0.9307731579
36	0.9290895397
37	0.9260403614
38	0.9218971212
39	0.9184721251
40	0.9176951963
41	0.9150588195
42	0.9129829041
43	0.9110365158
44	0.909279624
45	0.9058087885
46	0.9035787805
47	0.9010355289
48	0.8988473769
49	0.8968574704
50	0.8952762586
51	0.8938651379
52	0.8914992986
53	0.8883083883
54	0.8863996728
55	0.8846197394
56	0.8839227892
57	0.8826689115
58	0.8815221457
59	0.8808332615
60	0.8779298944
61	0.8761826535
62	0.8740270095
63	0.8729156427
64	0.8705284076
65	0.8674760517
66	0.866692585
67	0.8654896699
68	0.86352116
69	0.8625824964
70	0.8616228008
71	0.8606958606
72	0.8584381384
73	0.8545155922
74	0.8512860041
75	0.8509307459
76	0.8486699965
77	0.8467231521
78	0.8454168381
79	0.8442588987
80	0.843130972
81	0.8410167859
82	0.8403569063
83	0.838470218
84	0.8352911707
85	0.8338096885
86	0.8312356946
87	0.8282030565
88	0.8275222291
89	0.8269893176
90	0.8262606626
91	0.8244062826
92	0.8224740839
93	0.8209360843
94	0.8193738133
95	0.8188497974
96	0.8177146809
97	0.8140970928
98	0.8127950629
99	0.811097857
100	0.8083574077
101	0.8062993268
102	0.8058382293
103	0.8050826958
104	0.8037834615
105	0.8028988675
106	0.8015642724
107	0.7998949575
108	0.7975902166
109	0.7970930284
110	0.7967125507
111	0.79387946
112	0.7935185186
113	0.7925712362
114	0.7914326298
115	0.7883740718
116	0.7879809843
117	0.7858397624
118	0.7841624285
119	0.7832855587
120	0.7827855619
121	0.7820678205
122	0.780195951
123	0.7797712623
124	0.7772784919
125	0.7755333861
126	0.7750042732
127	0.7744586624
128	0.7722430267
129	0.7700239862
130	0.768334802
131	0.7680467631
132	0.7676141791
133	0.7672713042
134	0.7665162789
135	0.7649395857
136	0.7643876393
137	0.7628752164
138	0.7604046077
139	0.7590364569
140	0.7579636075
141	0.7559796828
142	0.7548749061
143	0.7524197316
144	0.751650416
145	0.7500991211
146	0.7480638532
147	0.7456440728
148	0.7454323721
149	0.7433256191
150	0.741696583
151	0.7404542109
152	0.7393923537
153	0.7390117221
154	0.7366997056
155	0.7363315341
156	0.7351446694
157	0.7348644178
158	0.7327309093
159	0.7323525735
160	0.7319591316
161	0.7311462604
162	0.7284647584
163	0.7255827318
164	0.7251749695
165	0.7228707153
166	0.720828087
167	0.7188144074
168	0.7177360718
169	0.715691846
170	0.714747103
171	0.7115898246
172	0.7113013885
173	0.7110756828
174	0.7094114149
175	0.7078682864
176	0.7067508598
177	0.7059813216
178	0.7034392521
179	0.7012361919
180	0.6989148248
181	0.6978797618
182	0.6959441612
183	0.6956579383
184	0.6950610413
185	0.6945276027
186	0.6931854324
187	0.6904061317
188	0.6901826351
189	0.6881454953
190	0.6868262751
191	0.6861112029
192	0.6846618857
193	0.6839212785
194	0.6818890095
195	0.6816888298
196	0.6794536107
197	0.6779592615
198	0.6769810622
199	0.6750816649
200	0.6744209063
201	0.6737745069
202	0.6736211227
203	0.672008447
204	0.670276174
205	0.6677760623
206	0.6675803837
207	0.6658586942
208	0.6632639403
209	0.6615565358
210	0.6589237707
211	0.6568692084
212	0.6550387722
213	0.6528943912
214	0.6510950945
215	0.6503156394
216	0.6473943152
217	0.6461547351
218	0.6444280028
219	0.6428872101
220	0.6408544296
221	0.6391467024
222	0.637942975
223	0.6363797727
224	0.6358694411
225	0.6340175163
226	0.6320171282
227	0.6307520801
228	0.6305074822
229	0.6301471108
230	0.6293405353
231	0.6276571557
232	0.6263740589
233	0.6244142716
234	0.6223423075
235	0.6202980552
236	0.618665677
237	0.6173854606
238	0.6172094104
239	0.6170469345
240	0.6167954874
241	0.6151781114
242	0.6141042815
243	0.6138620069
244	0.6114658515
245	0.6105210577
246	0.6098635556
247	0.6075051207
248	0.6063973485
249	0.6051377147
250	0.6041945746
251	0.6039083499
252	0.6027023982
253	0.6020738343
254	0.6005243707
255	0.5991116202
256	0.5976781314
257	0.5954178408
258	0.5949151917
259	0.5947662624
260	0.5946367438
261	0.593251063
262	0.5928824324
263	0.5916132974
264	0.5896029956
265	0.5879793692
266	0.5870230305
267	0.5868226499
268	0.5855109673
269	0.5828969999
270	0.5814666552
271	0.579901377
272	0.5784375089
273	0.577100328
274	0.5767497007
275	0.5759341282
276	0.5746041188
277	0.5731927209
278	0.5710694692
279	0.5694970796
280	0.5692943052
281	0.5691723137
282	0.5684590259
283	0.5668925788
284	0.5657213086
285	0.5645612379
286	0.5637525854
287	0.5631496501
288	0.5618901259
289	0.5608562082
290	0.560276273
291	0.5597114583
292	0.5586618345
293	0.5569611864
294	0.5552809965
295	0.5540560522
296	0.5529609511
297	0.5518462993
298	0.5517564192
299	0.5508576562
