seed,lite_mode,epoch,train_loss,val_loss,val_rmse,val_mae,val_spearman,n_channels
62,diag_terminal_pair_lite,1,0.8297379839987982,0.3594290415445964,1.0666347742080688,0.8560848236083984,0.03586769195913611,20
62,diag_terminal_pair_lite,2,0.3756675095785232,0.33173956473668414,1.0460461378097534,0.796320915222168,0.2027486899621801,20
62,diag_terminal_pair_lite,3,0.3217357702198483,0.33797740936279297,1.0707519054412842,0.8112266063690186,0.24167825806416926,20
62,diag_terminal_pair_lite,4,0.3105260736885525,0.3182558019955953,1.0100840330123901,0.767723560333252,0.3027583130053128,20
62,diag_terminal_pair_lite,5,0.2922599429175967,0.3611656228701274,1.123940110206604,0.8787525296211243,0.2954098102624654,20
62,diag_terminal_pair_lite,6,0.28811182649362654,0.3199067215124766,1.0687185525894165,0.7792096138000488,0.29526983878164925,20
62,diag_terminal_pair_lite,7,0.28016199313458945,0.3090111364920934,1.0275981426239014,0.7551584243774414,0.3302977018558885,20
62,diag_terminal_pair_lite,8,0.2681662220330465,0.3041422466437022,1.0332672595977783,0.7445213198661804,0.33671889353832896,20
62,diag_terminal_pair_lite,9,0.2719759061222985,0.2997012237707774,1.0598160028457642,0.7821546792984009,0.35531760405177365,20
62,diag_terminal_pair_lite,10,0.278197365857306,0.327362984418869,1.0710557699203491,0.7855450510978699,0.32133952708365543,20
62,diag_terminal_pair_lite,11,0.26185163145973567,0.31149423122406006,1.0424789190292358,0.7923207879066467,0.31232886300611645,20
62,diag_terminal_pair_lite,12,0.2594868093729019,0.32436985274155933,1.0690648555755615,0.8001390099525452,0.3379261475603682,20
62,diag_terminal_pair_lite,13,0.25291988253593445,0.3214467267195384,1.076050043106079,0.802979588508606,0.28930355441186123,20
62,diag_terminal_pair_lite,14,0.24675263109661283,0.3160162071386973,1.0927695035934448,0.8127167224884033,0.32552117507303774,20
