feature_set,model,n_seeds,n_features_mean,n_features_std,test_rmse_mean,test_rmse_std,test_mae_mean,test_mae_std,test_spearman_mean,test_spearman_std
A1FlatSelected_ESM2PCA,A1FlatSelected_ESM2PCA-SVR,3,365.3333333333333,131.53453285481092,1.07379387306665,0.08131754678982625,0.8246083205525361,0.08237767834182504,0.4869332162943058,0.11422967466079702
A1FlatSelected,A1FlatSelected-SVR,3,266.6666666666667,115.47005383792515,1.0877281184727485,0.0495218208215489,0.8234434289496534,0.06576074769606052,0.4454308498478398,0.05994430487964308
A1FlatSelected_ESM2PCAInteract,A1FlatSelected_ESM2PCAInteract-SVR,3,2664.6666666666665,1560.8976050123638,1.144958173187341,0.0431419346411854,0.9042591957668527,0.027168594512589697,0.3369104426898179,0.06229172363185151
ESM2PCA,ESM2PCA-SVR,3,48.0,27.712812921102035,1.1667522077895383,0.049396706894526396,0.9457156149848734,0.040836695959103164,0.2962832043933397,0.09733796601558398
