seed,step,model,feature_set,n_features,val_score,params,val_rmse,val_mae,val_spearman,val_bias,val_top5_hit_rate,val_top10_hit_rate,val_top20_hit_rate,val_strong_n,val_strong_mae,val_strong_bias,test_rmse,test_mae,test_spearman,test_bias,test_top5_hit_rate,test_top10_hit_rate,test_top20_hit_rate,test_strong_n,test_strong_mae,test_strong_bias,selected_k,strong_factor,medium_factor
42,01_tuned_full_svr,A1FlatFull-TunedSVR,A1FlatFull,906,1.1840536698706328,"{""C"": 1.0, ""epsilon"": 0.2, ""gamma"": 0.03}",1.1840536698706328,0.9390055347581011,0.41178220253354775,0.08659265206252065,0.8,0.5,0.55,4,1.568435855067571,-1.568435855067571,1.130973933366458,0.9009010418697881,0.4033663436247466,0.10076972554524495,0.2,0.3,0.45,2,1.858359268394075,-1.858359268394075,,,
42,02_feature_group_ablation,A1FlatDiagOnly-TunedSVR,A1FlatDiagOnly,375,1.1867119373454724,"{""C"": 1.0, ""epsilon"": 0.1, ""gamma"": 0.03}",1.1867119373454724,0.9246418622345938,0.4285614305866462,0.10041783507222377,0.6,0.6,0.65,4,1.549818442893564,-1.549818442893564,1.1791469076395793,0.9045826531711351,0.3719949610395479,0.18654450329595898,0.4,0.3,0.45,2,1.7189758602789702,-1.7189758602789702,,,
42,02_feature_group_ablation,A1FlatPairOnly-TunedSVR,A1FlatPairOnly,450,1.1735097440362905,"{""C"": 1.0, ""epsilon"": 0.2, ""gamma"": 0.03}",1.1735097440362905,0.9298846833225948,0.4049060433835293,0.08565646811796815,0.8,0.4,0.5,4,1.510087407789569,-1.510087407789569,1.1104246060722955,0.9000394852407633,0.4752248312306646,0.04165102536274312,0.2,0.5,0.55,2,1.6334201272134874,-1.6334201272134874,,,
42,02_feature_group_ablation,A1FlatNoHeur-TunedSVR,A1FlatNoHeur,831,1.186933248865431,"{""C"": 1.0, ""epsilon"": 0.2, ""gamma"": 0.03}",1.186933248865431,0.9337652924825918,0.4081254156064387,0.08900924364911358,0.8,0.4,0.55,4,1.538685058157619,-1.538685058157619,1.1319360053095413,0.8981224008892232,0.3931833293109788,0.11014992006486779,0.2,0.3,0.5,2,1.789249619439734,-1.789249619439734,,,
42,02_feature_group_ablation,A1FlatNoPairwise-TunedSVR,A1FlatNoPairwise,456,1.1823362482895479,"{""C"": 1.0, ""epsilon"": 0.2, ""gamma"": 0.03}",1.1823362482895479,0.9313601568710338,0.41115232535950036,0.08051202977148572,0.6,0.5,0.6,4,1.640272201815097,-1.640272201815097,1.1724305951843532,0.9064044356063283,0.32505161498484175,0.16229019277539766,0.2,0.4,0.35,2,1.7190458576806296,-1.7190458576806296,,,
42,02_feature_group_ablation,A1FlatNoPairPhyschem-TunedSVR,A1FlatNoPairPhyschem,631,1.162830306318671,"{""C"": 1.0, ""epsilon"": 0.2, ""gamma"": 0.03}",1.162830306318671,0.9166974587428647,0.4930013648093382,0.0717693461832021,0.8,0.5,0.55,4,1.5559107905096168,-1.5559107905096168,1.1595377908413544,0.9151108879975797,0.34653742525512843,0.1086737800273194,0.2,0.3,0.45,2,1.804936238378775,-1.804936238378775,,,
42,02_feature_group_ablation,A1FlatDiagCorePair-TunedSVR,A1FlatDiagCorePair,600,1.2087086397494808,"{""C"": 1.0, ""epsilon"": 0.2, ""gamma"": 0.03}",1.2087086397494808,0.9441753508464984,0.3707177101032849,0.08932940679513722,0.8,0.4,0.55,4,1.5822103550417157,-1.5822103550417157,1.169368936581436,0.9248065388750782,0.3105469433935814,0.14679924317265014,0.2,0.4,0.5,2,1.7345433351721882,-1.7345433351721882,,,
42,03_selected_svr,A1FlatSelected-TunedSVR,A1FlatSelected_k400,400,1.1866443127170858,"{""C"": 1.0, ""epsilon"": 0.2, ""gamma"": 0.03}",1.1866443127170858,0.9407955518270255,0.4007068622232127,0.0873857413601274,0.8,0.5,0.55,4,1.5456209225195028,-1.5456209225195028,1.1309520012451861,0.899309350086996,0.4075830213732312,0.09756464850806663,0.2,0.4,0.5,2,1.8854741337575422,-1.8854741337575422,400.0,,
42,04_multi_kernel_svr,A1FlatMultiKernel-TunedSVR,A1FlatMultiKernel,906,1.186711925257693,"{""C"": 1.0, ""epsilon"": 0.1, ""gamma"": 0.03, ""weights"": {""diag"": 1.0, ""core_pair"": 0.0, ""other_pair"": 0.0, ""heur"": 0.0, ""other"": 0.0}}",1.186711925257693,0.9246418489999794,0.4285614305866462,0.10041786227288844,0.6,0.6,0.65,4,1.5498182312233542,-1.5498182312233542,1.1791469267966133,0.904582634703294,0.3719949610395479,0.18654449472889123,0.4,0.3,0.45,2,1.7189759146727162,-1.7189759146727162,,,
42,05_strong_activity_weighted_svr,A1FlatFull-StrongWeightedSVR,A1FlatFull,906,1.1795505118966028,"{""C"": 1.0, ""epsilon"": 0.2, ""gamma"": 0.01}",1.1795505118966028,0.8926578224856089,0.4567659307134395,0.174925721630879,0.8,0.4,0.6,4,1.4041430737813774,-1.4041430737813774,1.169988122751314,0.9035801109184289,0.374357000442226,0.24185784592250395,0.2,0.4,0.45,2,1.4517281824084267,-1.4517281824084267,,3.0,1.5
