seed,lite_mode,epoch,train_loss,val_loss,val_rmse,val_mae,val_spearman,n_channels
62,diag_pair_no_heur,1,0.8172829378218878,0.34360207120577496,1.083970069885254,0.8673436641693115,0.22965820714908322,33
62,diag_pair_no_heur,2,0.33923991166409995,0.3167906105518341,1.0433870553970337,0.7970861196517944,0.2797854937163637,33
62,diag_pair_no_heur,3,0.2969102951742354,0.29687897364298504,1.0374525785446167,0.731020987033844,0.3424927171219948,33
62,diag_pair_no_heur,4,0.29807463997886297,0.3294072051843007,1.0696016550064087,0.8430161476135254,0.3101418086183642,33
62,diag_pair_no_heur,5,0.2856536074763253,0.2922501564025879,1.0093294382095337,0.7532047629356384,0.36742513714236985,33
62,diag_pair_no_heur,6,0.27435544700849623,0.2790917456150055,1.0054726600646973,0.7239503860473633,0.3289154834828291,33
62,diag_pair_no_heur,7,0.25990012288093567,0.34702492753664654,1.127334713935852,0.8817458152770996,0.33105004856527526,33
62,diag_pair_no_heur,8,0.25432676786468145,0.3547438482443492,1.1148037910461426,0.893640398979187,0.38105486008684164,33
62,diag_pair_no_heur,9,0.26567238640217555,0.285046527783076,1.0205451250076294,0.75245600938797,0.3207796411603909,33
62,diag_pair_no_heur,10,0.2278781710636048,0.29957690338293713,1.0806106328964233,0.7845271229743958,0.35318303896932757,33
62,diag_pair_no_heur,11,0.2178225644997188,0.3010089894135793,1.0747936964035034,0.795878529548645,0.3701195881480806,33
62,diag_pair_no_heur,12,0.21457759255454653,0.28901774684588116,1.068758249282837,0.7947628498077393,0.3197298550542699,33
62,diag_pair_no_heur,13,0.2146040985272044,0.29748427867889404,1.0791515111923218,0.7658905386924744,0.3507160416199431,33
62,diag_pair_no_heur,14,0.20524477816763378,0.3165535827477773,1.1120446920394897,0.8528981804847717,0.32056968393916674,33
62,diag_pair_no_heur,15,0.1906613622392927,0.3042866885662079,1.1379971504211426,0.8141422271728516,0.3012536195865393,33
62,diag_pair_no_heur,16,0.19077541146959578,0.3219699909289678,1.2266136407852173,0.8601509928703308,0.36705771200522747,33
