variant,n_diag_channels,test_rmse_mean,test_rmse_std,test_mae_mean,test_mae_std,test_spearman_mean,test_spearman_std,val_rmse_mean,val_rmse_std,best_epoch_mean
DiagTokenLenHeadRank,15,1.122379223505656,0.045219175781001396,0.8711378335952759,0.05092202474408325,0.4232590737952634,0.09370690952223673,1.1026511589686077,0.09384912061047673,13.8
DiagTokenLenHead,15,1.1327752749125162,0.03985974633150064,0.8801411827405293,0.03652270047941573,0.4094868472792309,0.08292634859544858,1.1020596782366434,0.09702155548240285,10.6
