split_seed,variant,model,ensemble_type,n_members,member_val_rmses,member_weights,val_rmse,val_mae,val_spearman,test_rmse,test_mae,test_spearman
42,DiagTokenLenHead,DiagTokenLenHead-EnsMean,mean,5,"[1.224583625793457, 1.1857316493988037, 1.21428644657135, 1.2340327501296997, 1.2166588306427002]","[0.19679414218602018, 0.20990183662904036, 0.20014593221737045, 0.1937919317759989, 0.19936615719157005]",1.2029612904090403,0.9777934562857145,0.5167442349532951,1.1297459255086164,0.8762130948571428,0.40018196457817323
42,DiagTokenLenHead,DiagTokenLenHead-EnsWeighted,weighted,5,"[1.224583625793457, 1.1857316493988037, 1.21428644657135, 1.2340327501296997, 1.2166588306427002]","[0.19679414218602018, 0.20990183662904036, 0.20014593221737045, 0.1937919317759989, 0.19936615719157005]",1.2022926555556555,0.9768327543994809,0.5183014313002458,1.1294201469777025,0.8754986055996375,0.4038562480934503
42,DiagTokenLenHeadRank,DiagTokenLenHeadRank-EnsMean,mean,5,"[1.1918407678604126, 1.195503830909729, 1.2227848768234253, 1.2300266027450562, 1.2153934240341187]","[0.20642383454647795, 0.20516079369003415, 0.1961084003923485, 0.19380603928807136, 0.19850093208306807]",1.1940245996769525,0.979481608,0.5202085594105563,1.1235772563900983,0.8860760511428569,0.4127445148827871
42,DiagTokenLenHeadRank,DiagTokenLenHeadRank-EnsWeighted,weighted,5,"[1.1918407678604126, 1.195503830909729, 1.2227848768234253, 1.2300266027450562, 1.2153934240341187]","[0.20642383454647795, 0.20516079369003415, 0.1961084003923485, 0.19380603928807136, 0.19850093208306807]",1.1935153437499362,0.9784421254326356,0.5184589005937578,1.1227182396831585,0.8851774120487111,0.4127445148827871
52,DiagTokenLenHead,DiagTokenLenHead-EnsMean,mean,5,"[1.1086814403533936, 1.0998730659484863, 1.1031746864318848, 1.1006112098693848, 1.1061686277389526]","[0.19820203831935768, 0.2013893671202362, 0.200185720449793, 0.2011193271902146, 0.19910354692039833]",1.0957381574181877,0.8599242497142855,0.3719567138337924,1.1611977943063292,0.8988152854285714,0.5447785351854799
52,DiagTokenLenHead,DiagTokenLenHead-EnsWeighted,weighted,5,"[1.1086814403533936, 1.0998730659484863, 1.1031746864318848, 1.1006112098693848, 1.1061686277389526]","[0.19820203831935768, 0.2013893671202362, 0.200185720449793, 0.2011193271902146, 0.19910354692039833]",1.0957059265288673,0.8598858739880966,0.3721316781848126,1.1611131797840302,0.8986794111839608,0.5460383005546139
52,DiagTokenLenHeadRank,DiagTokenLenHeadRank-EnsMean,mean,5,"[1.101920485496521, 1.1087894439697266, 1.1059434413909912, 1.1127617359161377, 1.102019190788269]","[0.20157970242343148, 0.19908986331847683, 0.20011584581937628, 0.19767099444656608, 0.20154359399214924]",1.093369574893306,0.8591901671428573,0.39550691548110817,1.131860212647626,0.8655953554285715,0.5443236199132927
52,DiagTokenLenHeadRank,DiagTokenLenHeadRank-EnsWeighted,weighted,5,"[1.101920485496521, 1.1087894439697266, 1.1059434413909912, 1.1127617359161377, 1.102019190788269]","[0.20157970242343148, 0.19908986331847683, 0.20011584581937628, 0.19767099444656608, 0.20154359399214924]",1.0933494853537893,0.8591486890719069,0.39550691548110817,1.1319477206913227,0.8657704403728754,0.5443236199132927
62,DiagTokenLenHead,DiagTokenLenHead-EnsMean,mean,5,"[0.9842355847358704, 0.965092122554779, 1.0044025182724, 0.9940851926803589, 0.9892774224281311]","[0.2011899958483196, 0.20925072216492033, 0.19319190348874718, 0.19722288053965953, 0.19914449795835332]",0.9766888729182792,0.7572550194285714,0.40322284336109787,1.0760736534500641,0.8306171894285715,0.3578783452814686
62,DiagTokenLenHead,DiagTokenLenHead-EnsWeighted,weighted,5,"[0.9842355847358704, 0.965092122554779, 1.0044025182724, 0.9940851926803589, 0.9892774224281311]","[0.2011899958483196, 0.20925072216492033, 0.19319190348874718, 0.19722288053965953, 0.19914449795835332]",0.9763578218577085,0.7571307847314666,0.4050424726117078,1.0762732607684833,0.8309211548402975,0.357615894162899
62,DiagTokenLenHeadRank,DiagTokenLenHeadRank-EnsMean,mean,5,"[0.9863548278808594, 0.976059079170227, 1.001941442489624, 0.9951279163360596, 0.9933003187179565]","[0.20165978624502773, 0.2059365536739847, 0.1954343826430074, 0.1981197779345313, 0.19884949950344893]",0.9788283945796384,0.754700306857143,0.4017181499423244,1.067077852895649,0.8199763808571429,0.4014802244464936
62,DiagTokenLenHeadRank,DiagTokenLenHeadRank-EnsWeighted,weighted,5,"[0.9863548278808594, 0.976059079170227, 1.001941442489624, 0.9951279163360596, 0.9933003187179565]","[0.20165978624502773, 0.2059365536739847, 0.1954343826430074, 0.1981197779345313, 0.19884949950344893]",0.9785346493664341,0.754582456602719,0.4017181499423244,1.0670957372203318,0.8202422396531719,0.39612622162767425
