split_seed,run_seed,effective_seed,variant,n_diag_channels,hidden_dim,num_blocks,dropout,lr,weight_decay,mse_alpha,rank_lambda,select_by,best_epoch,best_score,val_loss,val_rmse,val_mae,val_spearman,test_loss,test_rmse,test_mae,test_spearman
42,0,42000,DiagTokenLenHead,15,64,2,0.15,0.001,0.0002,0.1,0.0,val_rmse,4,1.224583625793457,8.955406228701273,1.224583625793457,0.9906368851661682,0.3989257001036242,7.831199030081431,1.1415090560913086,0.8828640580177307,0.36027224696699733
42,1,42001,DiagTokenLenHead,15,64,2,0.15,0.001,0.0002,0.1,0.0,val_rmse,10,1.1857316493988037,8.342939416567484,1.1857316493988037,0.9342041015625,0.5202435525868923,7.623168051242828,1.1302108764648438,0.8670869469642639,0.40140672574993214
42,2,42002,DiagTokenLenHead,15,64,2,0.15,0.001,0.0002,0.1,0.0,val_rmse,4,1.21428644657135,9.116961558659872,1.21428644657135,1.011771321296692,0.5152220317826803,7.894496023654938,1.1384057998657227,0.883073091506958,0.3715750429235163
42,3,42003,DiagTokenLenHead,15,64,2,0.15,0.001,0.0002,0.1,0.0,val_rmse,4,1.2340327501296997,9.23199717203776,1.2340327501296997,1.0169281959533691,0.42691675129885565,8.053489963213602,1.1349523067474365,0.9068209528923035,0.3573853099192797
42,4,42004,DiagTokenLenHead,15,64,2,0.15,0.001,0.0002,0.1,0.0,val_rmse,3,1.2166588306427002,9.026398340861002,1.2166588306427002,1.0022788047790527,0.39118871825982837,8.232527196407318,1.1717276573181152,0.9192716479301453,0.31378381220465884
42,0,42000,DiagTokenLenHeadRank,15,64,2,0.18,0.001,0.0003,0.05,0.02,combined,27,1.3614583532109443,8.587862730026245,1.1918407678604126,0.9543670415878296,0.4598278336428371,7.5338119467099505,1.1002172231674194,0.8601416945457458,0.47485740287913686
42,1,42001,DiagTokenLenHeadRank,15,64,2,0.18,0.001,0.0003,0.05,0.02,combined,10,1.3580058493723062,8.632878224054972,1.195503830909729,0.9608314633369446,0.5180389824777261,7.672354340553284,1.1215059757232666,0.8708781599998474,0.4205829863820446
42,2,42002,DiagTokenLenHeadRank,15,64,2,0.18,0.001,0.0003,0.05,0.02,combined,3,1.4052633481927812,9.388260761896769,1.2227848768234253,1.034753441810608,0.5080659272219741,8.399367213249207,1.165905237197876,0.9363086223602295,0.36618609376777655
42,3,42003,DiagTokenLenHeadRank,15,64,2,0.18,0.001,0.0003,0.05,0.02,combined,3,1.4229006183954624,9.36911145846049,1.2300266027450562,1.036380410194397,0.4414739126546199,8.289302388827005,1.1643985509872437,0.9203596115112305,0.3369317983509042
42,4,42004,DiagTokenLenHeadRank,15,64,2,0.18,0.001,0.0003,0.05,0.02,combined,3,1.4067638614954168,9.171173810958862,1.2153934240341187,1.0132124423980713,0.4128844875881309,8.355284611384073,1.1667025089263916,0.9310140609741211,0.2774259019915842
52,0,52000,DiagTokenLenHead,15,64,2,0.15,0.001,0.0002,0.1,0.0,val_rmse,8,1.1086814403533936,7.697806179523468,1.1086814403533936,0.8683177828788757,0.29532232808695524,8.265093564987183,1.1738691329956055,0.928207278251648,0.5405618205471289
52,1,52001,DiagTokenLenHead,15,64,2,0.15,0.001,0.0002,0.1,0.0,val_rmse,14,1.0998730659484863,7.530045211315155,1.0998730659484863,0.8594018816947937,0.3887008022264233,7.849977533022563,1.156232476234436,0.881031334400177,0.5015090941039765
52,2,52002,DiagTokenLenHead,15,64,2,0.15,0.001,0.0002,0.1,0.0,val_rmse,6,1.1031746864318848,7.496538917223613,1.1031746864318848,0.8487123847007751,0.3845891399774492,8.39067554473877,1.203277349472046,0.938861072063446,0.501876525669974
52,3,52003,DiagTokenLenHead,15,64,2,0.15,0.001,0.0002,0.1,0.0,val_rmse,18,1.1006112098693848,7.576875776052475,1.1006112098693848,0.868503987789154,0.37893779143949746,7.604517062505086,1.130447268486023,0.8582994937896729,0.542293997929688
