model,variant,ensemble_type,n_members,test_rmse_mean,test_rmse_std,test_mae_mean,test_mae_std,test_spearman_mean,test_spearman_std,val_rmse_mean,val_rmse_std
DiagTokenLenHeadRank-EnsWeighted,DiagTokenLenHeadRank,weighted,5,1.107253899198271,0.03508282072474815,0.8570633640249196,0.033331727189067996,0.4510647854745847,0.08119082194637518,1.0884664928233865,0.107573497904652
DiagTokenLenHeadRank-EnsMean,DiagTokenLenHeadRank,mean,5,1.1075051073111244,0.035255127510352445,0.857215929142857,0.03383714957895127,0.4528494530808578,0.0794189112115269,1.088740856383299,0.10767274700849316
DiagTokenLenHead-EnsWeighted,DiagTokenLenHead,weighted,5,1.122268862510072,0.042869670126954224,0.8683663905412985,0.03443757677903882,0.43583681427032106,0.09819785266163435,1.0914521346474104,0.11302746714209687
DiagTokenLenHead-EnsMean,DiagTokenLenHead,mean,5,1.1223391244216698,0.04304271559608564,0.8685485232380952,0.03473908919479513,0.4342796150150406,0.09800463035247352,1.091796106915169,0.11318770494583129
