seed,lite_mode,epoch,train_loss,val_loss,val_rmse,val_mae,val_spearman,n_channels
62,diag_lite,1,0.6433505515257517,0.3256201644738515,1.008802056312561,0.7742173075675964,0.2951473637359351,15
62,diag_lite,2,0.3289466535761243,0.34063374002774555,1.073812484741211,0.8328230977058411,0.29206799115798,15
62,diag_lite,3,0.3087572966303144,0.30531961222489673,1.0430619716644287,0.7702022194862366,0.39363479692519227,15
62,diag_lite,4,0.2899701730126426,0.3232451577981313,1.0625942945480347,0.7975013852119446,0.35120594180279957,15
62,diag_lite,5,0.2971303718430655,0.3556542197863261,1.1183655261993408,0.8838175535202026,0.33054265194731675,15
62,diag_lite,6,0.27783012815884184,0.3050771454970042,1.04473876953125,0.7714711427688599,0.3232116456395714,15
62,diag_lite,7,0.2774889334326699,0.2748429626226425,0.999880850315094,0.7342265248298645,0.36522058631951565,15
62,diag_lite,8,0.27750984330972034,0.29772700866063434,1.0011895895004272,0.7450340390205383,0.3872311016778538,15
62,diag_lite,9,0.2504611632653645,0.3168702721595764,1.067710518836975,0.8166613578796387,0.3633659641987018,15
62,diag_lite,10,0.25350549036548253,0.3294265866279602,1.0548489093780518,0.7958612442016602,0.2804328618151383,15
62,diag_lite,11,0.24206111473696573,0.3195712665716807,1.0972234010696411,0.8208385109901428,0.306939960994695,15
62,diag_lite,12,0.229503024546873,0.34090330203374225,1.1009398698806763,0.84657883644104,0.22143488265113492,15
62,diag_lite,13,0.24024010307732083,0.3165588279565175,1.0698188543319702,0.8213116526603699,0.2665406923441363,15
62,diag_lite,14,0.2457717266820726,0.35395582516988117,1.105362892150879,0.8505330681800842,0.338730983575061,15
62,diag_lite,15,0.23258058371998014,0.3517211973667145,1.1101458072662354,0.8697378039360046,0.29532232808695524,15
62,diag_lite,16,0.2178517338775453,0.3656034270922343,1.1052632331848145,0.8724192976951599,0.34880893019382314,15
62,diag_lite,17,0.22133826038667134,0.359580119450887,1.0650992393493652,0.8497690558433533,0.3076573148338777,15
