ablation_mode,description,n_channels,test_rmse_mean,test_rmse_std,test_mae_mean,test_mae_std,test_spearman_mean,test_spearman_std,val_rmse_mean,val_rmse_std,best_epoch_mean
diag_only,Only keep diagonal residue-level physicochemical and terminal channels.,15,1.0766996542612712,0.07078383639309167,0.8425074418385824,0.05192714040277003,0.48536432922720546,0.11325586281146227,1.091631551583608,0.08359263666121285,6.0
no_ace_heuristic,Remove ACE-inspired heuristic channels only.,33,1.1089411775271099,0.1475929048805516,0.8435242772102356,0.10318909672901774,0.4734433982993271,0.15021113733893762,1.0862415234247844,0.07137611869386914,9.333333333333334
pair_only,Only keep off-diagonal pairwise relation channels.,18,1.1094165643056233,0.07840570004228453,0.8484758933385214,0.09214867318397646,0.4599005465291157,0.015977119446240307,1.1286210616429646,0.055040454804794796,12.0
no_terminal,Remove all terminal-related and heuristic terminal channels.,28,1.1172520518302917,0.1301656084192365,0.8664335409800211,0.11756193166520207,0.45661742308081577,0.13942887446823118,1.1154295206069946,0.05938627185912809,6.0
no_pairwise,Remove all channels whose names start with pair_.,18,1.1203445196151733,0.10595642224436097,0.8552709817886353,0.10187371351033012,0.4305590030828079,0.1473675923861746,1.093372106552124,0.08846923885865728,8.666666666666666
no_pair_physchem,Remove pairwise physicochemical sum/diff/compatibility channels.,23,1.1382206678390503,0.07053035329089911,0.9003440340360006,0.0544893203087126,0.466724529912194,0.12840741060790262,1.1024981339772542,0.08555800100441294,6.333333333333333
full,Use all A1 relation tensor channels.,36,1.1642437378565471,0.10927164056991588,0.9097057183583578,0.09720627652844514,0.35865351829716724,0.24497920467085102,1.1126027504603069,0.07095915279425816,7.666666666666667
