seed,variant,epoch,train_loss,val_loss,val_rmse,val_mae,val_spearman
52,DiagBranchOnly,1,40.92887678600493,13.739741245905558,1.622938871383667,1.4216725826263428,0.21266916866502408
52,DiagBranchOnly,2,12.611565635317849,8.81476616859436,1.2000293731689453,0.9732596278190613,0.4376208347716646
52,DiagBranchOnly,3,10.580899965195428,8.798978686332703,1.1701076030731201,0.9746588468551636,0.375508490159502
52,DiagBranchOnly,4,10.66764618101574,8.779030124346415,1.155806064605713,0.9764052033424377,0.310876658892649
52,DiagBranchOnly,5,10.765781493414016,8.773759563763937,1.154460072517395,0.9763727188110352,0.30043128713674444
52,DiagBranchOnly,6,10.495752425420852,8.361598253250122,1.1368542909622192,0.93360835313797,0.30998434070244607
52,DiagBranchOnly,7,10.091005688621884,8.33781385421753,1.1539169549942017,0.9316818118095398,0.30403555276776006
52,DiagBranchOnly,8,9.298723992847261,8.227602005004883,1.1494908332824707,0.9237581491470337,0.3280406617277283
52,DiagBranchOnly,9,10.186231545039586,8.10975464185079,1.1416144371032715,0.9131811857223511,0.3585194516754429
52,DiagBranchOnly,10,9.719405968983969,8.101442694664001,1.135647177696228,0.9117761850357056,0.3639783394272724
52,DiagBranchOnly,11,9.506399608793712,8.176134626070658,1.1588351726531982,0.9188066720962524,0.3763658154795009
52,DiagBranchOnly,12,9.605555897667294,8.169499635696411,1.137210488319397,0.9182977676391602,0.38619881200683476
52,DiagBranchOnly,13,9.46920835404169,7.959561765193939,1.1311514377593994,0.8973078727722168,0.3922875714223369
52,DiagBranchOnly,14,9.214388915470668,7.854722062746684,1.11532723903656,0.8913447856903076,0.4009133139276315
52,DiagBranchOnly,15,9.313121591295515,8.095026016235352,1.1400706768035889,0.9131982922554016,0.4018406249880385
52,DiagBranchOnly,16,9.538184824443999,7.997746487458547,1.1424281597137451,0.9040216207504272,0.4143330796508791
52,DiagBranchOnly,17,9.495731898716517,8.421815673510233,1.1906228065490723,0.9477584958076477,0.38126481730806583
52,DiagBranchOnly,18,9.308940115429106,8.041817347208658,1.1682630777359009,0.9083257913589478,0.378412898386437
52,DiagBranchOnly,19,9.583306471506754,8.025749246279398,1.1484755277633667,0.9014288783073425,0.37732811941011185
52,DiagBranchOnly,20,9.370013282412575,7.865948339303334,1.1312065124511719,0.8908445835113525,0.40033593156926506
52,DiagBranchOnly,21,9.318425927843366,7.792058765888214,1.1481268405914307,0.8841434121131897,0.3862687977472428
52,DiagBranchOnly,22,9.272069567725772,7.839115858078003,1.1525944471359253,0.8830260038375854,0.38514902590071376
52,DiagBranchOnly,23,9.084882622673398,7.8733667731285095,1.1576454639434814,0.8905426263809204,0.38618131557173274
52,DiagBranchOnly,24,9.277921426863898,7.894993940989177,1.137652039527893,0.8906872272491455,0.3876160232500982
