dataset,seed,split,metric,value
acepair_cls_2_3,62,train,n_total,299
acepair_cls_2_3,62,train,cls_label_0,180
acepair_cls_2_3,62,train,cls_label_1,119
acepair_cls_2_3,62,train,length_2,88
acepair_cls_2_3,62,train,length_3,211
acepair_cls_2_3,62,valid,n_total,75
acepair_cls_2_3,62,valid,cls_label_0,45
acepair_cls_2_3,62,valid,cls_label_1,30
acepair_cls_2_3,62,valid,length_2,38
acepair_cls_2_3,62,valid,length_3,37
acepair_cls_2_3,62,test,n_total,94
acepair_cls_2_3,62,test,cls_label_0,56
acepair_cls_2_3,62,test,cls_label_1,38
acepair_cls_2_3,62,test,length_2,25
acepair_cls_2_3,62,test,length_3,69
