dataset,seed,model,split,extra_dim,threshold,acc,bacc,auc,auprc,f1,mcc,precision,sensitivity,specificity,params
acepair_cls_2_3,72,GRUOnly,valid,0,0.16999999999999998,0.76,0.75,0.8007407407407408,0.6613663147493014,0.7,0.5,0.7,0.7,0.8,"{""best_epoch"": 97, ""best_valid_auc"": 0.8007407407407408}"
acepair_cls_2_3,72,GRUOnly,test,0,0.16999999999999998,0.6276595744680851,0.5986842105263158,0.6795112781954888,0.6023968045084142,0.4927536231884058,0.2060214108575823,0.5483870967741935,0.4473684210526316,0.75,"{""best_epoch"": 97, ""best_valid_auc"": 0.8007407407407408}"
acepair_cls_2_3,72,GRU_Descriptor,valid,82,0.22999999999999998,0.7333333333333333,0.7444444444444445,0.782962962962963,0.6348497848008865,0.7058823529411765,0.4790539119402764,0.631578947368421,0.8,0.6888888888888889,"{""best_epoch"": 41, ""best_valid_auc"": 0.782962962962963}"
acepair_cls_2_3,72,GRU_Descriptor,test,82,0.22999999999999998,0.574468085106383,0.5794172932330828,0.6649436090225564,0.6018831961134564,0.5348837209302325,0.15593060141367387,0.4791666666666667,0.6052631578947368,0.5535714285714286,"{""best_epoch"": 41, ""best_valid_auc"": 0.782962962962963}"
acepair_cls_2_3,72,GRU_A1PCA,valid,64,0.24999999999999994,0.72,0.7222222222222222,0.7503703703703704,0.6237192094227184,0.676923076923077,0.4364357804719848,0.6285714285714286,0.7333333333333333,0.7111111111111111,"{""best_epoch"": 51, ""best_valid_auc"": 0.7503703703703704}"
acepair_cls_2_3,72,GRU_A1PCA,test,64,0.24999999999999994,0.5957446808510638,0.5930451127819549,0.6607142857142857,0.5443325131532865,0.5365853658536586,0.18301978199501756,0.5,0.5789473684210527,0.6071428571428571,"{""best_epoch"": 51, ""best_valid_auc"": 0.7503703703703704}"
acepair_cls_2_3,72,GRU_Descriptor_A1PCA,valid,146,0.63,0.7333333333333333,0.6944444444444444,0.7548148148148149,0.6464861417888503,0.6,0.43082021842766455,0.75,0.5,0.8888888888888888,"{""best_epoch"": 3, ""best_valid_auc"": 0.7548148148148149}"
acepair_cls_2_3,72,GRU_Descriptor_A1PCA,test,146,0.63,0.6914893617021277,0.6353383458646616,0.7156954887218046,0.633061956389578,0.4727272727272727,0.3451173939574568,0.7647058823529411,0.34210526315789475,0.9285714285714286,"{""best_epoch"": 3, ""best_valid_auc"": 0.7548148148148149}"
