feature_set,model,n_seeds,n_features_mean,n_features_std,test_threshold_mean,test_threshold_std,test_acc_mean,test_acc_std,test_bacc_mean,test_bacc_std,test_auc_mean,test_auc_std,test_auprc_mean,test_auprc_std,test_f1_mean,test_f1_std,test_mcc_mean,test_mcc_std,test_precision_mean,test_precision_std,test_sensitivity_mean,test_sensitivity_std,test_specificity_mean,test_specificity_std
A1FlatSelected_ESM2PCA,A1FlatSelected_ESM2PCA-LR,5,168.0,46.49193478443331,0.3999999999999999,0.09924716620639602,0.8575757575757577,0.017275385228774802,0.8557073170731707,0.02506244432228219,0.9186341463414636,0.022498330957991097,0.8764920419378939,0.048400198212401324,0.8175535375207238,0.028207409312876453,0.7056940342841036,0.038682356356290054,0.7948677248677248,0.042332837030027735,0.8480000000000001,0.0769415362466854,0.8634146341463416,0.04081268422117445
ESM2,ESM2-LR,5,320.0,0.0,0.462,0.20154403985233596,0.8454545454545455,0.03455077045754964,0.8459512195121951,0.035193693664712346,0.9320975609756097,0.008823741701147296,0.9022518749254196,0.007677561919944896,0.8054638423909559,0.04268609633922298,0.6885225469490053,0.062818641078889,0.779445701357466,0.07760691759901778,0.8480000000000001,0.10353743284435825,0.8439024390243903,0.08198895762912982
A1FlatSelected,A1FlatSelected-LR,5,140.8,22.807893370497855,0.5259999999999999,0.3169069263995345,0.8363636363636363,0.029144521305562648,0.8230243902439025,0.025976239543493176,0.9028292682926831,0.0160990391043467,0.8658815491771875,0.02295901780085474,0.7808107738583538,0.03435643056671977,0.6544538077563238,0.058794143527602157,0.8009316770186337,0.07346578728042441,0.768,0.05932958789676528,0.878048780487805,0.05974365226300433
A1FlatSelected_ESM2PCAInteract,A1FlatSelected_ESM2PCAInteract-LR,5,2068.6,1234.368583527627,0.564,0.302456608458139,0.7575757575757576,0.02395664894066952,0.7424390243902439,0.029049998950505862,0.8290731707317074,0.042690034251453145,0.7831989299576655,0.06241945805166469,0.6750500428919819,0.05128703764988745,0.4974689091819936,0.039127587399162014,0.6977888995130375,0.07101297125591774,0.68,0.14966629547095767,0.8048780487804879,0.11043152607484655
