seed,ablation_mode,epoch,train_loss,val_loss,val_rmse,val_mae,val_spearman,n_channels
52,no_pair_physchem,1,0.8267684067998614,0.35999637345472973,1.2287815809249878,1.0636091232299805,0.30494536739306494,23
52,no_pair_physchem,2,0.3523634118693216,0.2857467383146286,1.1006032228469849,0.9093302488327026,0.3485814765374969,23
52,no_pair_physchem,3,0.33858216944194974,0.33897313972314197,1.262233853340149,1.0533671379089355,0.35248318156524683,23
52,no_pair_physchem,4,0.30600523735795704,0.2731567993760109,1.1060395240783691,0.9041324257850647,0.3517833241611661,23
52,no_pair_physchem,5,0.2948109968787148,0.25754810372988385,1.1058250665664673,0.8747974634170532,0.39489454025253756,23
52,no_pair_physchem,6,0.29195445705027806,0.2747098629673322,1.1127684116363525,0.9010449647903442,0.40002099573742866,23
52,no_pair_physchem,7,0.2884272869144167,0.27422891308863956,1.148630976676941,0.9145216941833496,0.3756309652052161,23
52,no_pair_physchem,8,0.27305244831811815,0.26110157867272693,1.1243376731872559,0.8844870924949646,0.3799525846754145,23
52,no_pair_physchem,9,0.2658676497993015,0.30561108887195587,1.2149847745895386,0.9880560636520386,0.3264659825685466,23
52,no_pair_physchem,10,0.26762445980594274,0.27707283074657124,1.2127493619918823,0.9434168934822083,0.3458695290966842,23
52,no_pair_physchem,11,0.26641975130353657,0.3244988222916921,1.243964672088623,1.0192198753356934,0.30456044582082065,23
52,no_pair_physchem,12,0.26266971443380627,0.3154127274950345,1.250892162322998,1.020560383796692,0.2921379768983881,23
