feature_set,model,split,n_features,rmse,mae,spearman,params
None,MeanPredictor,val,0,1.046811750099829,0.8273581428562722,0.0,"{""mean_value"": 4.070099444740661}"
None,MeanPredictor,test,0,1.1632771185479185,0.9477667464887392,0.0,"{""mean_value"": 4.070099444740661}"
SeqOnly,SeqOnly-Ridge,val,130,1.068926405053632,0.821040514395173,0.24841438557844608,"{""alpha"": 1.0}"
SeqOnly,SeqOnly-Ridge,test,130,1.089465095381801,0.8606577751881067,0.3327705216049796,"{""alpha"": 1.0}"
SeqOnly,SeqOnly-SVR,val,130,1.077840171457487,0.7925419870287719,0.20757770605033699,"{""C"": 2.0, ""epsilon"": 0.1, ""kernel"": ""rbf""}"
SeqOnly,SeqOnly-SVR,test,130,1.0605005776564869,0.8371779337821377,0.3693737042748159,"{""C"": 2.0, ""epsilon"": 0.1, ""kernel"": ""rbf""}"
SeqOnly,SeqOnly-CatBoost,val,130,1.0131216076130822,0.7678815337406425,0.29626713558246426,"{""depth"": 6, ""learning_rate"": 0.05, ""iterations"": 300}"
SeqOnly,SeqOnly-CatBoost,test,130,1.037962865175692,0.8104519519458183,0.3771247606432372,"{""depth"": 6, ""learning_rate"": 0.05, ""iterations"": 300}"
PhysChemOnly,PhysChemOnly-Ridge,val,22,1.0571976505881509,0.8397262495674543,0.13636840816040874,"{""alpha"": 1.0}"
PhysChemOnly,PhysChemOnly-Ridge,test,22,1.131889052556909,0.8960708469524312,0.21976483762597981,"{""alpha"": 1.0}"
PhysChemOnly,PhysChemOnly-SVR,val,22,1.017000065293693,0.8080280482933376,0.3147636210938867,"{""C"": 2.0, ""epsilon"": 0.1, ""kernel"": ""rbf""}"
PhysChemOnly,PhysChemOnly-SVR,test,22,1.1481254438717994,0.9052946282806152,0.22798852183650617,"{""C"": 2.0, ""epsilon"": 0.1, ""kernel"": ""rbf""}"
PhysChemOnly,PhysChemOnly-CatBoost,val,22,1.0062916093886807,0.8079193688525949,0.30666270077334923,"{""depth"": 6, ""learning_rate"": 0.05, ""iterations"": 300}"
PhysChemOnly,PhysChemOnly-CatBoost,test,22,1.0790421279192632,0.8327762378347998,0.3726903695408735,"{""depth"": 6, ""learning_rate"": 0.05, ""iterations"": 300}"
Descriptor,Descriptor-Ridge,val,82,1.0614395272696633,0.811289623740933,0.2634788162012832,"{""alpha"": 1.0}"
Descriptor,Descriptor-Ridge,test,82,1.0960783013327906,0.8841856791046366,0.32531690983760375,"{""alpha"": 1.0}"
Descriptor,Descriptor-SVR,val,82,1.0800763832505966,0.7987842699070941,0.3227042490216128,"{""C"": 2.0, ""epsilon"": 0.1, ""kernel"": ""rbf""}"
Descriptor,Descriptor-SVR,test,82,1.053898515518996,0.8535688226942545,0.37075594683261565,"{""C"": 2.0, ""epsilon"": 0.1, ""kernel"": ""rbf""}"
Descriptor,Descriptor-CatBoost,val,82,0.9722274909244759,0.7547811033798398,0.3901879992100948,"{""depth"": 6, ""learning_rate"": 0.05, ""iterations"": 300}"
Descriptor,Descriptor-CatBoost,test,82,1.0604759010673415,0.8048833729935753,0.40093782546811646,"{""depth"": 6, ""learning_rate"": 0.05, ""iterations"": 300}"
A1FlatFull,A1FlatFull-Ridge,val,906,1.1775812420252478,0.8745593203138167,0.2383014460894799,"{""alpha"": 1.0}"
A1FlatFull,A1FlatFull-Ridge,test,906,1.0585435222718125,0.8192057935663687,0.4189419722019891,"{""alpha"": 1.0}"
A1FlatFull,A1FlatFull-SVR,val,906,1.0494342629179796,0.772674504729703,0.33547664664608573,"{""C"": 2.0, ""epsilon"": 0.1, ""kernel"": ""rbf""}"
A1FlatFull,A1FlatFull-SVR,test,906,1.00915491614858,0.7423366593084383,0.45920197379056144,"{""C"": 2.0, ""epsilon"": 0.1, ""kernel"": ""rbf""}"
A1FlatFull,A1FlatFull-CatBoost,val,906,1.0962082446013937,0.8222095528913727,0.24930670376864897,"{""depth"": 6, ""learning_rate"": 0.05, ""iterations"": 300}"
A1FlatFull,A1FlatFull-CatBoost,test,906,1.0138973052403952,0.76349326609275,0.40001049818250395,"{""depth"": 6, ""learning_rate"": 0.05, ""iterations"": 300}"
