variant,pair_mode,n_diag_channels,n_pair_channels,residual_scale,use_gate,test_rmse_mean,test_rmse_std,test_mae_mean,test_mae_std,test_spearman_mean,test_spearman_std,val_rmse_mean,val_rmse_std,best_epoch_mean
DiagBranchOnly,none,15,0,0.0,False,1.1075644493103027,0.0538315801260858,0.8654943704605103,0.05000634167532085,0.4797535373740953,0.04840484242615044,1.1091984907786052,0.12772512425434135,14.333333333333334
DiagCorePairResidualGate,core,15,9,0.5,True,1.1094144185384114,0.020132124562362488,0.8676335414250692,0.006595496231705343,0.46153940744817246,0.10208297129234119,1.108726143836975,0.13302991262815264,18.666666666666668
DiagCorePairResidualSmallGate,core,15,9,0.25,True,1.111222227414449,0.05299439588982056,0.8594731489817301,0.05107491966726669,0.4783654414455582,0.05532216000324323,1.1084742943445842,0.1316134241962079,18.0
DiagAllPairResidualGate,all,15,18,0.3,True,1.125831921895345,0.07766684885802509,0.8839702010154724,0.08098536188382109,0.44465499919131496,0.016712755863971588,1.1273276805877686,0.1132041260841191,11.333333333333334
