model,split,rmse,mae,spearman,params
A1Flat-Ridge,val,1.206109439247223,0.9829685496874451,0.4541239459000736,"{""alpha"": 1.0}"
A1Flat-Ridge,test,1.2167613532980683,0.9509406462354328,0.3705252476334371,"{""alpha"": 1.0}"
A1Flat-SVR,val,1.225580369517543,0.9494657390376616,0.4086853064278143,"{""C"": 2.0, ""epsilon"": 0.1, ""kernel"": ""rbf""}"
A1Flat-SVR,test,1.163623978182562,0.9129676215507636,0.4048535536190253,"{""C"": 2.0, ""epsilon"": 0.1, ""kernel"": ""rbf""}"
A1Flat-CatBoost,val,1.2180171557594743,0.9773195165433981,0.3444378346749701,"{""depth"": 6, ""learning_rate"": 0.05, ""iterations"": 300}"
A1Flat-CatBoost,test,1.2075790071476786,0.966257588350975,0.25905448441519896,"{""depth"": 6, ""learning_rate"": 0.05, ""iterations"": 300}"
