feature,score,pvalue,selected
pair_both_hydrophobic_flag__r0__c2,91.21978215038665,3.960028401945717e-18,True
pair_both_hydrophobic_flag__r2__c0,91.21978215038665,3.960028401945717e-18,True
pair_hydrophobicity_sum__r0__c2,53.14722282839131,6.513140473166994e-12,True
pair_hydrophobicity_sum__r2__c0,53.14722282839131,6.513140473166994e-12,True
diag_aromaticity__r2__c2,51.678943710910474,1.1819382036914662e-11,True
diag_aromatic_residue_flag__r2__c2,51.678943710910474,1.1819382036914662e-11,True
diag_branched_chain_flag__r0__c0,44.73206555349428,2.086136741240268e-10,True
heur_c_terminal_favorable_flag__r0__c2,44.618440211126725,2.1880165647223667e-10,True
heur_c_terminal_favorable_flag__r1__c2,44.618440211126725,2.1880165647223667e-10,True
heur_c_terminal_favorable_flag__r2__c0,44.618440211126725,2.1880165647223667e-10,True
heur_c_terminal_favorable_flag__r2__c1,44.618440211126725,2.1880165647223667e-10,True
heur_n_terminal_favorable_flag__r0__c2,40.44947143216714,1.279918734790101e-09,True
heur_n_terminal_favorable_flag__r2__c0,40.44947143216714,1.279918734790101e-09,True
pair_hydrophobicity_signed_diff__r0__c2,36.126844757709065,8.285084894467209e-09,True
pair_hydrophobicity_signed_diff__r2__c0,36.126844757709065,8.285084894467209e-09,True
heur_terminal_hydrophobic_pattern_flag__r1__c2,35.38074484944531,1.1481245957961498e-08,True
heur_terminal_hydrophobic_pattern_flag__r2__c1,35.38074484944531,1.1481245957961498e-08,True
heur_terminal_hydrophobic_pattern_flag__r0__c2,33.70133525909335,2.4033234961166825e-08,True
heur_terminal_hydrophobic_pattern_flag__r2__c0,33.70133525909335,2.4033234961166825e-08,True
diag_hydrophobicity__r0__c0,31.341425114039712,6.85753602633325e-08,True
pair_both_bulky_flag__r0__c1,29.393867924528326,1.6447339750198463e-07,True
pair_both_bulky_flag__r1__c0,29.393867924528326,1.6447339750198463e-07,True
diag_polarity__r0__c0,28.887518621943908,2.0677873934352915e-07,True
residue_id_2,27.691061817540202,3.5601316326672724e-07,True
heur_terminal_hydrophobic_pattern_flag__r0__c1,26.280927835051532,6.784678995317168e-07,True
heur_terminal_hydrophobic_pattern_flag__r1__c0,26.280927835051532,6.784678995317168e-07,True
pair_residue_class_compatibility__r0__c2,24.85712316135547,1.3077710520499997e-06,True
pair_residue_class_compatibility__r2__c0,24.85712316135547,1.3077710520499997e-06,True
diag_volume__r2__c2,24.69556890379043,1.4093365816571415e-06,True
pair_both_hydrophobic_flag__r0__c1,23.83139108093228,2.105150562494248e-06,True
pair_both_hydrophobic_flag__r1__c0,23.83139108093228,2.105150562494248e-06,True
pair_both_hydrophobic_flag__r1__c2,23.8141341348591,2.122130249765807e-06,True
pair_both_hydrophobic_flag__r2__c1,23.8141341348591,2.122130249765807e-06,True
pair_hydrophobicity_sum__r0__c1,21.311313535270504,6.863980222136665e-06,True
pair_hydrophobicity_sum__r1__c0,21.311313535270504,6.863980222136665e-06,True
heur_n_terminal_favorable_flag__r0__c1,20.486102809324542,1.0148005450174327e-05,True
heur_n_terminal_favorable_flag__r1__c0,20.486102809324542,1.0148005450174327e-05,True
pair_hydrophobicity_abs_diff__r0__c2,20.253283079107735,1.1335704736098507e-05,True
pair_hydrophobicity_abs_diff__r2__c0,20.253283079107735,1.1335704736098507e-05,True
diag_volume__r0__c0,19.03913695996954,2.024398350333653e-05,True
pair_charge_signed_diff__r1__c2,17.958039283268768,3.406144415097629e-05,True
pair_charge_signed_diff__r2__c1,17.958039283268768,3.406144415097629e-05,True
diag_volume__r1__c1,16.535640454798628,6.794699279120652e-05,True
seq_length,15.48521782703532,0.00011367363846545543,True
