seed,model,n,rmse,mae,spearman,bias_mean,abs_error_median
42,A1-DiagCorePairLite,70,1.1316733448901064,0.8873127816587322,0.4314833608106998,0.10043064378178355,0.706529921340985
42,A1-DiagLite,70,1.1500699961704939,0.8996581711086099,0.37890611336590235,0.15907568235321215,0.707906811041856
42,A1FlatFull-SVR,70,1.1571268738906346,0.9051046586667525,0.4061133079671203,0.15788070379268707,0.6953353061454679
42,Descriptor-CatBoost,70,1.1946323525527909,0.9535088978182037,0.3092696924573185,0.07710242030721623,0.7777752838974799
42,Descriptor-SVR,70,1.180789569764338,0.9349351967577708,0.4055009273812408,0.1392960456312203,0.7144527284461659
42,MeanPredictor,70,1.2605591133709553,1.030979605404609,,0.15709857024430968,0.8897638896062234
42,PhysChemOnly-SVR,70,1.128758300326295,0.8708319010587662,0.48136613367762765,0.05302101132423507,0.6835771424387547
42,SeqOnly-CatBoost,70,1.162496728396039,0.9396719515082907,0.3737796130326825,0.031578907243682126,0.8369562260584886
42,SeqOnly-SVR,70,1.153327795385843,0.8931778631145451,0.42828148517595854,0.1423608194896354,0.7636159950267456
52,A1-DiagCorePairLite,70,1.089010709010478,0.8411339310381485,0.6328746273186665,0.19307959762950405,0.6701624108400466
52,A1-DiagLite,70,1.0712566801680172,0.8297615593540552,0.6043724358420108,-0.07475665665621017,0.6334932670643394
52,A1FlatFull-SVR,70,1.0435630820117785,0.7800555105042999,0.6289553572813608,0.15746847246528362,0.6207349863891232
52,Descriptor-CatBoost,70,1.1587050791554372,0.8789530341007556,0.3745877331637314,0.1686928856630134,0.6907438909934525
52,Descriptor-SVR,70,1.1462723578518241,0.9076263800884143,0.46114411206797634,0.10538917780851101,0.7096802209557618
52,MeanPredictor,70,1.3033680806034327,1.072998449682688,,0.18867789983517325,0.9139107138414011
52,PhysChemOnly-SVR,70,1.1673559158776394,0.9135714155149163,0.4214826868876056,0.061706112040935845,0.7265819401095914
52,SeqOnly-CatBoost,70,1.1228556134651315,0.8661694639310676,0.4404279704422181,0.07229008997154206,0.6629643100322822
52,SeqOnly-SVR,70,1.1173920904310188,0.8562691809686005,0.5512523294435294,0.12705720470363135,0.7167129317103282
62,A1-DiagCorePairLite,70,1.0583786609020456,0.8445664490343082,0.4149527151997316,0.13896155865696477,0.6812544982744353
62,A1-DiagLite,70,1.0087519780874303,0.7981048312025663,0.4728144384737033,0.1700308157998219,0.6081663614297019
62,A1FlatFull-SVR,70,1.00915491614858,0.7423366593084383,0.45920197379056144,-0.027116401191585565,0.5016907028505484
62,Descriptor-CatBoost,70,1.0604759010673415,0.8048833729935753,0.40093782546811646,-0.09494640340034027,0.6917750457534437
62,Descriptor-SVR,70,1.053898515518996,0.8535688226942545,0.37075594683261565,-0.05527142104835637,0.7591562259461255
62,MeanPredictor,70,1.1632771185479185,0.9477667464887392,,0.16504326911191158,0.8375824744996563
62,PhysChemOnly-SVR,70,1.1481254438717994,0.9052946282806152,0.22798852183650617,-0.07364115014746082,0.7385489448042779
62,SeqOnly-CatBoost,70,1.037962865175692,0.8104519519458183,0.3771247606432372,-0.012359444175708762,0.5818829692055423
62,SeqOnly-SVR,70,1.0605005776564869,0.8371779337821377,0.3693737042748159,0.013951411859261447,0.629914391191615
