seed,model,k,hit_count,hit_rate,pred_topk_true_mean,pred_topk_true_median,pred_topk_true_min,true_topk_true_mean,test_set_true_mean,enrichment_over_test_mean
42,A1-DiagCorePairLite,5,2,0.4,4.763852299930077,5.002176919254275,1.999841511436509,6.13214947319346,3.9327770119325027,0.8310752879975745
42,A1-DiagCorePairLite,10,3,0.3,4.590121742007534,4.54780453999382,1.999841511436509,5.75287921736262,3.9327770119325027,0.6573447300750317
42,A1-DiagCorePairLite,20,9,0.45,4.459637674598362,4.642332658103843,1.9978339382434929,5.358142218950471,3.9327770119325027,0.5268606626658592
42,A1-DiagLite,5,1,0.2,4.31077753543788,4.468521082957745,1.999841511436509,6.13214947319346,3.9327770119325027,0.37800052350537694
42,A1-DiagLite,10,3,0.3,4.616537700519565,4.54780453999382,1.999841511436509,5.75287921736262,3.9327770119325027,0.6837606885870624
42,A1-DiagLite,20,8,0.4,4.303171718812791,4.389162501464615,1.9978339382434929,5.358142218950471,3.9327770119325027,0.37039470688028864
42,A1FlatFull-SVR,5,2,0.4,4.6253777000735194,4.468521082957745,1.999841511436509,6.13214947319346,3.9327770119325027,0.6926006881410167
42,A1FlatFull-SVR,10,4,0.4,4.833948437369449,4.822408381995162,1.999841511436509,5.75287921736262,3.9327770119325027,0.9011714254369458
42,A1FlatFull-SVR,20,8,0.4,4.541478974845914,4.54780453999382,1.999841511436509,5.358142218950471,3.9327770119325027,0.6087019629134112
42,Descriptor-CatBoost,5,2,0.4,4.591723631033895,4.627087997029894,1.999841511436509,6.13214947319346,3.9327770119325027,0.6589466191013926
42,Descriptor-CatBoost,10,2,0.2,4.384101915362732,4.605223744845807,1.999841511436509,5.75287921736262,3.9327770119325027,0.4513249034302289
42,Descriptor-CatBoost,20,9,0.45,4.336629215936771,4.686149154816341,1.9979311792369727,5.358142218950471,3.9327770119325027,0.40385220400426824
42,Descriptor-SVR,5,1,0.2,4.098572325194906,4.468521082957745,1.999841511436509,6.13214947319346,3.9327770119325027,0.1657953132624037
42,Descriptor-SVR,10,2,0.2,4.4329937763338405,4.54780453999382,1.999841511436509,5.75287921736262,3.9327770119325027,0.5002167644013378
42,Descriptor-SVR,20,8,0.4,4.610044076314827,4.642332658103843,1.999841511436509,5.358142218950471,3.9327770119325027,0.677267064382324
42,MeanPredictor,5,0,0.0,3.2307519573599244,2.999565922520681,1.999841511436509,6.13214947319346,3.9327770119325027,-0.7020250545725784
42,MeanPredictor,10,1,0.1,3.3820871499540757,3.276203945589231,1.6989700043360187,5.75287921736262,3.9327770119325027,-0.5506898619784271
42,MeanPredictor,20,6,0.3,3.7224461979458554,4.1372614397394845,1.6989700043360187,5.358142218950471,3.9327770119325027,-0.21033081398664732
42,PhysChemOnly-SVR,5,2,0.4,4.99010255963759,5.292429823902063,2.184422251675733,6.13214947319346,3.9327770119325027,1.0573255477050871
42,PhysChemOnly-SVR,10,3,0.3,4.551882380839589,4.837653043069112,1.999841511436509,5.75287921736262,3.9327770119325027,0.6191053689070865
42,PhysChemOnly-SVR,20,10,0.5,4.644169805486113,4.711909978106141,1.999841511436509,5.358142218950471,3.9327770119325027,0.7113927935536104
42,SeqOnly-CatBoost,5,2,0.4,4.895789899127476,4.978810700930062,3.168450148004244,6.13214947319346,3.9327770119325027,0.9630128871949735
42,SeqOnly-CatBoost,10,2,0.2,4.330047411810819,4.310111635031205,1.999841511436509,5.75287921736262,3.9327770119325027,0.397270399878316
42,SeqOnly-CatBoost,20,10,0.5,4.612250222888667,4.781502280533148,1.999841511436509,5.358142218950471,3.9327770119325027,0.6794732109561643
42,SeqOnly-SVR,5,2,0.4,5.504193024604648,5.42021640338319,4.627087997029894,6.13214947319346,3.9327770119325027,1.5714160126721453
42,SeqOnly-SVR,10,4,0.4,5.184105237132838,5.063557827931287,3.98296666070122,5.75287921736262,3.9327770119325027,1.2513282252003357
42,SeqOnly-SVR,20,10,0.5,4.582389447129061,4.8188593484632944,1.999841511436509,5.358142218950471,3.9327770119325027,0.6496124351965582
52,A1-DiagCorePairLite,5,2,0.4,5.486548352050785,5.638272163982407,4.507169794321312,6.349976529068659,3.8847875323704955,1.6017608196802895
52,A1-DiagCorePairLite,10,5,0.5,5.253423602519341,5.4830871530233445,3.686132779630847,5.956558140323021,3.8847875323704955,1.3686360701488454
52,A1-DiagCorePairLite,20,12,0.6,4.779241747278144,5.096910013008056,1.9998109059253784,5.522357540854844,3.8847875323704955,0.8944542149076486
52,A1-DiagLite,5,2,0.4,5.585114393186523,5.638272163982407,5.0,6.349976529068659,3.8847875323704955,1.7003268608160278
52,A1-DiagLite,10,5,0.5,5.371154966228812,5.42539044367231,4.446116973356125,5.956558140323021,3.8847875323704955,1.4863674338583168
52,A1-DiagLite,20,11,0.55,4.858186656153149,4.915751258238483,3.4436974992327127,5.522357540854844,3.8847875323704955,0.9733991237826531
52,A1FlatFull-SVR,5,3,0.6,5.9537571724144644,5.7447274948966935,5.327902142064282,6.349976529068659,3.8847875323704955,2.068969640043969
52,A1FlatFull-SVR,10,5,0.5,5.079397329990306,5.4830871530233445,1.999792673880064,5.956558140323021,3.8847875323704955,1.194609797619811
52,A1FlatFull-SVR,20,13,0.65,4.79178613302952,5.260861084040197,1.9994292779238745,5.522357540854844,3.8847875323704955,0.9069986006590245
52,Descriptor-CatBoost,5,3,0.6,5.790569210159855,5.7447274948966935,5.327902142064282,6.349976529068659,3.8847875323704955,1.90578167778936
52,Descriptor-CatBoost,10,7,0.7,5.075966642077908,5.549816435671765,1.9865118216652329,5.956558140323021,3.8847875323704955,1.191179109707413
52,Descriptor-CatBoost,20,12,0.6,4.4951744459227605,5.096910013008056,1.9865118216652329,5.522357540854844,3.8847875323704955,0.610386913552265
52,Descriptor-SVR,5,2,0.4,5.405588974928435,5.638272163982407,4.102372908709558,6.349976529068659,3.8847875323704955,1.5208014425579393
52,Descriptor-SVR,10,4,0.4,4.971551143193063,5.260861084040197,1.999792673880064,5.956558140323021,3.8847875323704955,1.0867636108225671
52,Descriptor-SVR,20,11,0.55,4.5830548871616354,4.9006714565227885,1.6989700043360187,5.522357540854844,3.8847875323704955,0.69826735479114
52,MeanPredictor,5,2,0.4,4.657830605500533,4.14616121121726,2.036212172654445,6.349976529068659,3.8847875323704955,0.7730430731300375
52,MeanPredictor,10,2,0.2,4.2347944876052015,4.143182305167586,2.036212172654445,5.956558140323021,3.8847875323704955,0.35000695523470604
52,MeanPredictor,20,6,0.3,3.9313530756381985,3.9972595950102994,1.9865118216652329,5.522357540854844,3.8847875323704955,0.04656554326770301
52,PhysChemOnly-SVR,5,1,0.2,5.463433994438802,5.42021640338319,4.831502516476967,6.349976529068659,3.8847875323704955,1.5786464620683063
52,PhysChemOnly-SVR,10,5,0.5,5.407102606228921,5.374059272723736,3.6989700043360174,5.956558140323021,3.8847875323704955,1.522315073858426
52,PhysChemOnly-SVR,20,10,0.5,4.386300245850885,4.466937712593262,1.9876817087126435,5.522357540854844,3.8847875323704955,0.5015127134803894
52,SeqOnly-CatBoost,5,4,0.8,5.94546336348891,6.142667503568732,4.801342913045577,6.349976529068659,3.8847875323704955,2.060675831118415
52,SeqOnly-CatBoost,10,4,0.4,5.101858716000364,5.260861084040197,1.999792673880064,5.956558140323021,3.8847875323704955,1.2170711836298684
52,SeqOnly-CatBoost,20,15,0.75,4.907360907076383,5.260861084040197,1.9865118216652329,5.522357540854844,3.8847875323704955,1.0225733747058872
52,SeqOnly-SVR,5,2,0.4,4.61231264849511,5.0,1.999792673880064,6.349976529068659,3.8847875323704955,0.7275251161246148
52,SeqOnly-SVR,10,4,0.4,4.803703853764392,5.105774396488272,1.999792673880064,5.956558140323021,3.8847875323704955,0.9189163213938967
52,SeqOnly-SVR,20,12,0.6,4.750395387650391,4.915751258238483,1.999792673880064,5.522357540854844,3.8847875323704955,0.8656078552798956
62,A1-DiagCorePairLite,5,2,0.4,5.253932192620281,5.522878745280337,3.283996656365201,5.962191419365041,3.9050561756287503,1.348876016991531
62,A1-DiagCorePairLite,10,3,0.3,4.697637363582312,4.990837027298539,2.999565922520681,5.667320910553939,3.9050561756287503,0.7925811879535618
62,A1-DiagCorePairLite,20,11,0.55,4.56735781435332,4.773953375491134,1.999604971732082,5.308883862651747,3.9050561756287503,0.6623016387245699
62,A1-DiagLite,5,2,0.4,5.044986240367779,5.031517051446065,3.283996656365201,5.962191419365041,3.9050561756287503,1.1399300647390285
62,A1-DiagLite,10,3,0.3,4.777566622866955,4.813543998514946,3.283996656365201,5.667320910553939,3.9050561756287503,0.8725104472382044
62,A1-DiagLite,20,12,0.6,4.742800057980029,4.827782629944654,3.283996656365201,5.308883862651747,3.9050561756287503,0.8377438823512784
62,A1FlatFull-SVR,5,2,0.4,4.817754164232791,5.522878745280337,2.999565922520681,5.962191419365041,3.9050561756287503,0.9126979886040405
62,A1FlatFull-SVR,10,4,0.4,4.834534202776329,5.022878745280337,2.999565922520681,5.667320910553939,3.9050561756287503,0.9294780271475784
62,A1FlatFull-SVR,20,11,0.55,4.590183849341088,4.773953375491134,2.999565922520681,5.308883862651747,3.9050561756287503,0.6851276737123375
62,Descriptor-CatBoost,5,2,0.4,4.642002682442459,4.627087997029894,2.999565922520681,5.962191419365041,3.9050561756287503,0.7369465068137084
62,Descriptor-CatBoost,10,4,0.4,4.7974053662524305,4.8293025242379795,2.999565922520681,5.667320910553939,3.9050561756287503,0.8923491906236802
62,Descriptor-CatBoost,20,10,0.5,4.618749295338513,4.556935198480977,2.999565922520681,5.308883862651747,3.9050561756287503,0.7136931197097627
62,Descriptor-SVR,5,2,0.4,5.259496373797502,5.031517051446065,4.356547323513812,5.962191419365041,3.9050561756287503,1.3544401981687515
62,Descriptor-SVR,10,3,0.3,4.583212063582863,4.8293025242379795,1.999604971732082,5.667320910553939,3.9050561756287503,0.6781558879541127
62,Descriptor-SVR,20,10,0.5,4.500094070614325,4.4918176602718525,1.999604971732082,5.308883862651747,3.9050561756287503,0.5950378949855746
62,MeanPredictor,5,1,0.2,4.630065267754663,4.603103550857476,3.85078088734462,5.962191419365041,3.9050561756287503,0.7250090921259127
62,MeanPredictor,10,1,0.1,4.03739397545563,3.9208775726288545,1.9978339382434929,5.667320910553939,3.9050561756287503,0.13233779982687954
62,MeanPredictor,20,5,0.25,3.7232377406850836,3.8159570869743904,1.991634069794225,5.308883862651747,3.9050561756287503,-0.18181843494366667
62,PhysChemOnly-SVR,5,2,0.4,5.2275510578776245,5.522878745280337,3.3010299956639813,5.962191419365041,3.9050561756287503,1.3224948822488742
62,PhysChemOnly-SVR,10,3,0.3,4.645646632905667,4.291746315074775,3.3010299956639813,5.667320910553939,3.9050561756287503,0.7405904572769164
62,PhysChemOnly-SVR,20,6,0.3,4.157565442273222,4.137415610864373,1.9876817087126435,5.308883862651747,3.9050561756287503,0.25250926664447126
62,SeqOnly-CatBoost,5,2,0.4,4.968755853096468,5.180456064458132,3.333107788933464,5.962191419365041,3.9050561756287503,1.0636996774677177
62,SeqOnly-CatBoost,10,3,0.3,4.702116402767292,5.015758525723033,2.999565922520681,5.667320910553939,3.9050561756287503,0.7970602271385414
62,SeqOnly-CatBoost,20,12,0.6,4.5989071974778994,4.827782629944654,2.999565922520681,5.308883862651747,3.9050561756287503,0.6938510218491492
62,SeqOnly-SVR,5,2,0.4,5.402138462487628,5.180456064458132,4.627087997029894,5.962191419365041,3.9050561756287503,1.4970822868588773
62,SeqOnly-SVR,10,2,0.2,4.751216940166066,4.9761679026992205,2.999565922520681,5.667320910553939,3.9050561756287503,0.8461607645373159
62,SeqOnly-SVR,20,12,0.6,4.652830179212456,4.827782629944654,2.999565922520681,5.308883862651747,3.9050561756287503,0.7477740035837059
