model,n_mean,n_std,rmse_mean,rmse_std,mae_mean,mae_std,spearman_mean,spearman_std,bias_mean_mean,bias_mean_std,abs_error_median_mean,abs_error_median_std
A1FlatFull-SVR,70.0,0.0,1.0699482906836644,0.07743422690902461,0.8091656094931636,0.08519920070712597,0.4980902130130142,0.11639959664023594,0.09607759168879504,0.10668932652812686,0.6059203317950465,0.09766864179135508
A1-DiagLite,70.0,0.0,1.0766928848086472,0.07081567481428358,0.8425081872217438,0.05196275207315441,0.48536432922720546,0.11325586281146227,0.0847832804989413,0.13827417473198136,0.6498554798452991,0.05184429406912312
A1-DiagCorePairLite,70.0,0.0,1.0930209049342101,0.03681153255078442,0.8576710539103963,0.025727797474294933,0.493103567776366,0.12132715019838654,0.14415726668941745,0.046542493473578854,0.685982276818489,0.01863901479371101
SeqOnly-CatBoost,70.0,0.0,1.107771735678954,0.06362242764110214,0.8720977891283922,0.0648136625370398,0.3971107813727126,0.03755105397717307,0.030503184346505136,0.0423350185148215,0.6939345017654377,0.13032634488998607
SeqOnly-SVR,70.0,0.0,1.1104068211577829,0.04680618098027259,0.8622083259550944,0.028468458048981207,0.4496358396314346,0.09280067302543085,0.09445647868417606,0.07013807450124773,0.7034144393095629,0.06783558905266072
Descriptor-SVR,70.0,0.0,1.1269868143783859,0.06560704270254067,0.8987101331801465,0.041409495303105455,0.41246699542727755,0.04559495237052264,0.06313793413045832,0.10393748345415953,0.7277630584493511,0.027291801535385914
Descriptor-CatBoost,70.0,0.0,1.1379377775918564,0.06944745480913218,0.8791151016375115,0.07431289495615083,0.3615984170297221,0.047194315363645885,0.05028296752329645,0.1338502184166291,0.7200980735481254,0.049952590176061226
PhysChemOnly-SVR,70.0,0.0,1.1480798866919113,0.019298848104351306,0.8965659816180992,0.02266734387629377,0.37694578080057983,0.1324300024482025,0.013695324405903367,0.07576016489008344,0.7162360091175414,0.02890940123727458
MeanPredictor,70.0,0.0,1.2424014375074355,0.07178889403649681,1.017248267192012,0.06373505399735588,,,0.17027324639713148,0.01642644243757714,0.880419025982427,0.03901275288111807
