seed,model,group_col,group_value,n,rmse,mae,spearman,bias_mean,abs_error_median
42,A1-DiagCorePairLite,length,2,22,0.8856486092179752,0.6718103031616182,0.5866741953698477,0.3239688214967213,0.4668063063845993
42,A1-DiagCorePairLite,length,3,48,1.228071854823134,0.9860847509699094,0.23296965783655177,-0.002024354337562891,0.7663098950410545
42,A1-DiagLite,length,2,22,0.9591643507005165,0.7430900332294113,0.5776397515527951,0.4468723351330851,0.5433859669774384
42,A1-DiagLite,length,3,48,1.227687122448207,0.9714185676365762,0.20078163195186513,0.027168883162437093,0.7712113583890494
42,A1FlatFull-SVR,length,2,22,0.8422904895088008,0.6390803366929939,0.6758893280632412,0.3109261935770025,0.478864333467391
42,A1FlatFull-SVR,length,3,48,1.2757188353354325,1.027032472904725,0.184986158878604,0.08773485430820915,0.8073268801136029
42,Descriptor-CatBoost,length,2,22,0.9712073409065181,0.7839418418511376,0.6160361377752683,0.40381370320909576,0.5624987632796641
42,Descriptor-CatBoost,length,3,48,1.284108726777477,1.031227131803109,0.11062259148902436,-0.07264025102281191,0.8709564453738234
42,Descriptor-SVR,length,2,22,1.0451593677669286,0.890244458862809,0.41050254093732363,0.4561429672913259,0.7882061927477422
42,Descriptor-SVR,length,3,48,1.2379973939442843,0.9554184516262948,0.2800846771753512,-0.005925460129661396,0.7102470251406929
42,MeanPredictor,length,2,22,1.3167025716698018,1.1313915618403563,,0.7600447582189876,0.90144699876833
42,MeanPredictor,length,3,48,1.2339732988725447,0.9849574587048914,0.0,-0.1192517659107511,0.8331301441216912
42,PhysChemOnly-SVR,length,2,22,0.963011636923772,0.7219812813294358,0.5640880858272164,0.2997101458355001,0.43932038928705786
42,PhysChemOnly-SVR,length,3,48,1.197080301854024,0.9390551017680425,0.3162894212985991,-0.0600448419934281,0.7887109641755785
42,SeqOnly-CatBoost,length,2,22,0.9315585281093426,0.7468737088662003,0.549407114624506,0.34766987944461863,0.5734997691572741
42,SeqOnly-CatBoost,length,3,48,1.254211876029734,1.0280378127192484,0.17825544183020411,-0.11329612168174713,0.9101947420649912
