model,k,hit_count_mean,hit_count_std,hit_rate_mean,hit_rate_std,pred_topk_true_mean_mean,pred_topk_true_mean_std,pred_topk_true_median_mean,pred_topk_true_median_std,pred_topk_true_min_mean,pred_topk_true_min_std,true_topk_true_mean_mean,true_topk_true_mean_std,test_set_true_mean_mean,test_set_true_mean_std,enrichment_over_test_mean_mean,enrichment_over_test_mean_std
A1-DiagCorePairLite,5,2.0,0.0,0.4000000000000001,0.0,5.168110948200382,0.3689124021133602,5.387775942839006,0.3388862132221692,3.263669320707674,1.253787733218711,6.1481058072090535,0.19438435192518624,3.9075402399772496,0.024090983145643775,1.2605707082231317,0.39285801233241896
A1-DiagCorePairLite,10,3.6666666666666665,1.1547005383792515,0.3666666666666667,0.11547005383792516,4.8470609027030624,0.35600264756337663,5.007242906771901,0.46785708952606975,2.8951800711960125,0.8479781039417819,5.7922527560798605,0.14858415270297712,3.9075402399772496,0.024090983145643775,0.9395206627258129,0.3777264215682551
A1-DiagCorePairLite,20,10.666666666666666,1.5275252316519468,0.5333333333333333,0.0763762615825973,4.602079078743276,0.16260647425303754,4.837732015534344,0.23390367481561467,1.9990832719669844,0.0010868432672111732,5.396461207485687,0.11177661420512497,3.9075402399772496,0.024090983145643775,0.694538838766026,0.18590503681266662
A1-DiagLite,5,1.6666666666666667,0.5773502691896257,0.3333333333333333,0.11547005383792514,4.980292722997394,0.639626879630997,5.046103432795405,0.5850119398612671,3.4279460559339032,1.5052504148320422,6.1481058072090535,0.19438435192518624,3.9075402399772496,0.024090983145643775,1.0727524830201445,0.6637178287499503
A1-DiagLite,10,3.6666666666666665,1.1547005383792515,0.3666666666666667,0.11547005383792516,4.921753096538445,0.3974344081971131,4.928912994060359,0.45002417538801853,3.2433183803859453,1.2236449446224145,5.7922527560798605,0.14858415270297712,3.9075402399772496,0.024090983145643775,1.0142128565611945,0.4196475622408455
A1-DiagLite,20,10.333333333333334,2.0816659994661326,0.5166666666666667,0.1040832999733066,4.634719477648656,0.29286763913294517,4.710898796549251,0.2820820848123208,2.9085093646138023,0.7927000624127684,5.396461207485687,0.11177661420512497,3.9075402399772496,0.024090983145643775,0.7271792376714067,0.31634156728262863
A1FlatFull-SVR,5,2.3333333333333335,0.5773502691896258,0.4666666666666666,0.11547005383792512,5.132296345573592,0.7178792332392502,5.2453757743782585,0.6818589484733126,3.4424365253404905,1.7076585339039883,6.1481058072090535,0.19438435192518624,3.9075402399772496,0.024090983145643775,1.224756105596342,0.73934638311565
A1FlatFull-SVR,10,4.333333333333333,0.5773502691896257,0.43333333333333335,0.05773502691896256,4.915959990045361,0.1415411913419118,5.109458093432948,0.3387419331389688,2.333066702612418,0.5772052565595874,5.7922527560798605,0.14858415270297712,3.9075402399772496,0.024090983145643775,1.0084197500681118,0.16186527200291945
A1FlatFull-SVR,20,10.666666666666666,2.5166114784235836,0.5333333333333333,0.12583057392117916,4.641149652405507,0.13270852712237097,4.860872999841717,0.36438808237204434,2.3329455706270217,0.577310196214511,5.396461207485687,0.11177661420512497,3.9075402399772496,0.024090983145643775,0.7336094124282577,0.15494541059442027
Descriptor-CatBoost,5,2.3333333333333335,0.5773502691896258,0.4666666666666666,0.11547005383792512,5.008098507878736,0.6781056670599847,4.999634496318827,0.6452694649503551,3.4424365253404905,1.7076585339039883,6.1481058072090535,0.19438435192518624,3.9075402399772496,0.024090983145643775,1.100558267901487,0.6984336407235647
Descriptor-CatBoost,10,4.333333333333333,2.516611478423583,0.4333333333333333,0.2516611478423583,4.75249130789769,0.3481122728324678,4.994780901585184,0.4935596801984071,2.328639751874141,0.5810773313434042,5.7922527560798605,0.14858415270297712,3.9075402399772496,0.024090983145643775,0.8449510679204407,0.37219752573513165
Descriptor-CatBoost,20,10.333333333333334,1.5275252316519468,0.5166666666666666,0.0763762615825973,4.483517652399349,0.14142080973762997,4.779998122101792,0.28195553120358824,2.3280029744742956,0.5816185995335793,5.396461207485687,0.11177661420512497,3.9075402399772496,0.024090983145643775,0.5759774124220987,0.1577604468405342
Descriptor-SVR,5,1.6666666666666667,0.5773502691896257,0.3333333333333333,0.11547005383792514,4.921219224640281,0.716168068892782,5.046103432795405,0.5850119398612671,3.486253914553293,1.2935290999393214,6.1481058072090535,0.19438435192518624,3.9075402399772496,0.024090983145643775,1.0136789846630314,0.7389851528140031
Descriptor-SVR,10,3.0,1.0,0.3,0.09999999999999999,4.662585661036588,0.2779138991291085,4.879322716090665,0.359150279752885,1.999746385682885,0.0001248787645725051,5.7922527560798605,0.14858415270297712,3.9075402399772496,0.024090983145643775,0.7550454210593393,0.30073792741775535
Descriptor-SVR,20,9.666666666666666,1.5275252316519468,0.4833333333333334,0.07637626158259735,4.564397678030262,0.05730025765922833,4.678273924966161,0.20678294822095886,1.8994721625015367,0.1736400027629886,5.396461207485687,0.11177661420512497,3.9075402399772496,0.024090983145643775,0.6568574380530129,0.0545572632938438
MeanPredictor,5,1.0,1.0,0.20000000000000004,0.2,4.17288261020504,0.816027177101234,3.9162768948651387,0.8261164146483896,2.6289448571451914,1.0582972974403186,6.1481058072090535,0.19438435192518624,3.9075402399772496,0.024090983145643775,0.2653423702277906,0.8381089527957862
MeanPredictor,10,1.3333333333333333,0.5773502691896257,0.13333333333333333,0.05773502691896258,3.8847585376716354,0.4463749920993013,3.780087941128557,0.45031007011589885,1.9110053717446522,0.184627923113518,5.7922527560798605,0.14858415270297712,3.9075402399772496,0.024090983145643775,-0.022781702305613827,0.46995769393727505
MeanPredictor,20,5.666666666666667,0.5773502691896258,0.2833333333333333,0.02886751345948128,3.792345671423046,0.1203845939269354,3.9834927072413913,0.16109397001620016,1.892371965265159,0.16751059138126526,5.396461207485687,0.11177661420512497,3.9075402399772496,0.024090983145643775,-0.11519456855420367,0.14081189321981813
PhysChemOnly-SVR,5,1.6666666666666667,0.5773502691896257,0.3333333333333333,0.11547005383792516,5.227029203984672,0.2366661489131001,5.411841657521864,0.1154524950673819,3.4389849212722274,1.3289214247651084,6.1481058072090535,0.19438435192518624,3.9075402399772496,0.024090983145643775,1.3194889640074225,0.260673455872441
PhysChemOnly-SVR,10,3.6666666666666665,1.1547005383792515,0.3666666666666667,0.11547005383792516,4.868210539991392,0.46904309826677176,4.834486210289207,0.5411634283616199,2.9999471704788356,0.8886774215438583,5.7922527560798605,0.14858415270297712,3.9075402399772496,0.024090983145643775,0.9606703000141429,0.4901768004138947
