seed,model,group_col,group_value,n,rmse,mae,spearman,bias_mean,abs_error_median
42,A1-DiagCorePairLite,activity_bin,medium_5_to_6,13,1.102755147607872,0.9939625603753174,-0.22038651119356345,-0.9939625603753174,1.0513159643217618
42,A1-DiagCorePairLite,activity_bin,strong_pIC50_ge_6,2,2.095577259852233,2.0314961813122063,-0.9999999999999999,-2.0314961813122063,2.0314961813122063
42,A1-DiagCorePairLite,activity_bin,weak_lt_5,55,1.087583937499916,0.8204979830655946,0.3445165945165946,0.43663001294960707,0.5684431335443434
42,A1-DiagLite,activity_bin,medium_5_to_6,13,1.0839942368449045,0.9813628881823522,-0.04407730223871269,-0.9677651834522406,0.9803472643217619
42,A1-DiagLite,activity_bin,strong_pIC50_ge_6,2,1.73113601831877,1.6950907313122063,-0.9999999999999999,-1.6950907313122063,1.6950907313122063
42,A1-DiagLite,activity_bin,weak_lt_5,55,1.1387157066138733,0.8514213267019582,0.24170274170274175,0.4928441202223344,0.5961378469401515
42,A1FlatFull-SVR,activity_bin,medium_5_to_6,13,1.0660650316110938,0.9396654488070643,-0.13223190671613808,-0.9396654488070643,0.8266004916265199
42,A1FlatFull-SVR,activity_bin,strong_pIC50_ge_6,2,1.760837904617786,1.7271140932702411,-0.9999999999999999,-1.7271140932702411,1.7271140932702411
42,A1FlatFull-SVR,activity_bin,weak_lt_5,55,1.1501023783346407,0.8670444924661883,0.275901875901876,0.48584596884582576,0.5723292462027967
42,Descriptor-CatBoost,activity_bin,medium_5_to_6,13,1.1779864688558832,1.1113868036443055,0.22314134258348303,-1.1113868036443055,1.0942793310211232
42,Descriptor-CatBoost,activity_bin,strong_pIC50_ge_6,2,2.3093284575029216,2.2216142197598794,-0.9999999999999999,-2.2216142197598794,2.2216142197598794
42,Descriptor-CatBoost,activity_bin,weak_lt_5,55,1.1377392145977538,0.8700793810977916,0.23823953823953828,0.441607751061834,0.5651748027219954
42,Descriptor-SVR,activity_bin,medium_5_to_6,13,1.1549616357937094,0.9778531722771713,-0.12396741254637944,-0.9391108163187799,0.8534051464543166
42,Descriptor-SVR,activity_bin,strong_pIC50_ge_6,2,1.9075632128723934,1.8552435301670056,-0.9999999999999999,-1.8552435301670056,1.8552435301670056
42,Descriptor-SVR,activity_bin,weak_lt_5,55,1.1519131343533817,0.8913251904201219,0.3065656565656566,0.4667209248484286,0.672280873240739
42,MeanPredictor,activity_bin,medium_5_to_6,13,1.2841400381558428,1.2508253474292748,,-1.2508253474292748,1.2473665861416139
42,MeanPredictor,activity_bin,strong_pIC50_ge_6,2,2.5747659474119544,2.5695037991353944,0.0,-2.5695037991353944,2.5695037991353944
42,MeanPredictor,activity_bin,weak_lt_5,55,1.1796348188743677,0.9230697320631137,,0.5890297642173279,0.6553347304259782
