seed,ablation_mode,epoch,train_loss,val_loss,val_rmse,val_mae,val_spearman,n_channels
42,full,1,0.8464724435692742,0.49392109115918476,1.4889928102493286,1.238211750984192,-0.21044896248453424,36
42,full,2,0.4035391396000272,0.3825969994068146,1.2348625659942627,1.0072383880615234,0.4020191063358116,36
42,full,3,0.2986922739517121,0.40831095973650616,1.281395435333252,1.0625560283660889,0.38674458486515995,36
42,full,4,0.2768871358462742,0.3861238658428192,1.2440465688705444,1.005252718925476,0.3741120482078742,36
42,full,5,0.2610474533977963,0.3929135203361511,1.2424062490463257,1.0053455829620361,0.35574063063148903,36
42,full,6,0.2582404641878037,0.3900817036628723,1.2268357276916504,0.9829759001731873,0.3678832628200712,36
42,full,7,0.2518741687138875,0.38199012478192645,1.2196195125579834,0.9751532673835754,0.38796934603691896,36
42,full,8,0.243427180818149,0.4094986021518707,1.254746675491333,1.0159339904785156,0.34092102045320494,36
42,full,9,0.24875433281773612,0.4006306727727254,1.2611088752746582,1.015863299369812,0.38935157650218993,36
42,full,10,0.24106656440666743,0.375554899374644,1.222534418106079,0.9819013476371765,0.430083633757261,36
42,full,11,0.2262770114910035,0.39192770918210346,1.2194228172302246,0.9631393551826477,0.38551982369340093,36
42,full,12,0.23189641393366314,0.4010264178117116,1.23638916015625,0.9864463806152344,0.38803933238959093,36
42,full,13,0.22781728208065033,0.3572445710500081,1.195674180984497,0.9311519265174866,0.39816985693885476,36
42,full,14,0.20748893739212126,0.35929956038792926,1.2183020114898682,0.9281374216079712,0.4299786542282531,36
42,full,15,0.21244644231739498,0.3560671905676524,1.2158830165863037,0.9188092947006226,0.3828953354682031,36
42,full,16,0.20785867209945405,0.36625173687934875,1.2567037343978882,0.9821755290031433,0.39160863637586,36
42,full,17,0.19684870399179913,0.3682373861471812,1.2092466354370117,0.945530354976654,0.39344577813349857,36
42,full,18,0.19096072479372933,0.3423568109671275,1.1637792587280273,0.8946676254272461,0.4547013333096172,36
42,full,19,0.18279763133752913,0.3590148985385895,1.2069233655929565,0.9562967419624329,0.4461629982836401,36
42,full,20,0.1697669525941213,0.36018168926239014,1.2136627435684204,0.9690826535224915,0.45004724085693293,36
42,full,21,0.16977417433545702,0.33866652846336365,1.1758335828781128,0.9418221712112427,0.5288868671418773,36
42,full,22,0.1781677007675171,0.3607523441314697,1.2171289920806885,0.9381927251815796,0.3989397068182462,36
42,full,23,0.1539828951160113,0.3294644355773926,1.1855874061584473,0.9383164644241333,0.4832557651997701,36
42,full,24,0.13887395780710948,0.32350805401802063,1.1871756315231323,0.9051705598831177,0.4551387480138168,36
42,full,25,0.13401704884710766,0.34966956575711566,1.2055788040161133,0.9837061166763306,0.4693109844298854,36
42,full,26,0.13482148271231426,0.3511233429114024,1.2092084884643555,0.9130962491035461,0.44686286181035945,36
42,full,27,0.1288667796623139,0.3584362367788951,1.2748092412948608,0.9539187550544739,0.4286664101156542,36
42,full,28,0.12787662517456783,0.3806325097878774,1.26434326171875,0.9669191837310791,0.34783217277955936,36
