dataset,seed,model,split,extra_dim,threshold,acc,bacc,auc,auprc,f1,mcc,precision,sensitivity,specificity,params
acepair_cls_2_5,52,GRUOnly,valid,0,0.09,0.6923076923076923,0.6814506248468513,0.6923548149963245,0.6018734013477511,0.6226415094339622,0.3629012496937025,0.6226415094339622,0.6226415094339622,0.7402597402597403,"{""best_epoch"": 199, ""best_valid_auc"": 0.6923548149963245}"
acepair_cls_2_5,52,GRUOnly,test,0,0.09,0.6234567901234568,0.6231060606060606,0.6866319444444444,0.5907484835958972,0.5734265734265734,0.24224910913591458,0.5324675324675324,0.6212121212121212,0.625,"{""best_epoch"": 199, ""best_valid_auc"": 0.6923548149963245}"
acepair_cls_2_5,52,GRU_Descriptor,valid,82,0.5499999999999999,0.6923076923076923,0.6461651555991179,0.6385689781916196,0.5569778961241683,0.5121951219512195,0.3450622584283915,0.7241379310344828,0.39622641509433965,0.8961038961038961,"{""best_epoch"": 2, ""best_valid_auc"": 0.6385689781916196}"
acepair_cls_2_5,52,GRU_Descriptor,test,82,0.5499999999999999,0.6234567901234568,0.5923295454545454,0.654513888888889,0.5875525210753005,0.47863247863247865,0.19535822470260525,0.5490196078431373,0.42424242424242425,0.7604166666666666,"{""best_epoch"": 2, ""best_valid_auc"": 0.6385689781916196}"
acepair_cls_2_5,52,GRU_A1PCA,valid,64,0.48999999999999994,0.6846153846153846,0.7014212202891448,0.712080372457731,0.586617979424647,0.672,0.3982339402250896,0.5833333333333334,0.7924528301886793,0.6103896103896104,"{""best_epoch"": 2, ""best_valid_auc"": 0.712080372457731}"
acepair_cls_2_5,52,GRU_A1PCA,test,64,0.48999999999999994,0.5555555555555556,0.5634469696969697,0.6025883838383839,0.5258001785433022,0.5263157894736842,0.12493739391354411,0.46511627906976744,0.6060606060606061,0.5208333333333334,"{""best_epoch"": 2, ""best_valid_auc"": 0.712080372457731}"
acepair_cls_2_5,52,GRU_Descriptor_A1PCA,valid,146,0.4699999999999999,0.6923076923076923,0.7020338152413624,0.7196765498652292,0.5740640724386478,0.6666666666666666,0.39731017026603854,0.5970149253731343,0.7547169811320755,0.6493506493506493,"{""best_epoch"": 3, ""best_valid_auc"": 0.7196765498652292}"
acepair_cls_2_5,52,GRU_Descriptor_A1PCA,test,146,0.4699999999999999,0.5493827160493827,0.5653409090909091,0.6300505050505051,0.554757380765643,0.5408805031446541,0.12985441882345222,0.46236559139784944,0.6515151515151515,0.4791666666666667,"{""best_epoch"": 3, ""best_valid_auc"": 0.7196765498652292}"
