seed,lite_mode,epoch,train_loss,val_loss,val_rmse,val_mae,val_spearman,n_channels
52,diag_core_terminal_pair_lite,1,0.8782376334780738,0.4218936860561371,1.281802773475647,1.1244968175888062,0.3067824930787768,28
52,diag_core_terminal_pair_lite,2,0.3500812025297256,0.3162270088990529,1.1259101629257202,0.9247819185256958,0.32140951282406355,28
52,diag_core_terminal_pair_lite,3,0.3175753702720006,0.2792411098877589,1.1043318510055542,0.8659966588020325,0.3914652389725421,28
52,diag_core_terminal_pair_lite,4,0.3113363498733157,0.2845483074585597,1.1415399312973022,0.9077714681625366,0.3620537315660505,28
52,diag_core_terminal_pair_lite,5,0.28216820529529024,0.2887340933084488,1.169453740119934,0.9302995800971985,0.37204419600930255,28
52,diag_core_terminal_pair_lite,6,0.28554648870513555,0.2669772207736969,1.1208655834197998,0.8746614456176758,0.3764183047848069,28
52,diag_core_terminal_pair_lite,7,0.2753015635978608,0.2713151276111603,1.1398823261260986,0.8774695992469788,0.37967264171378223,28
52,diag_core_terminal_pair_lite,8,0.27721347624347326,0.2873675425847371,1.1454861164093018,0.9066181182861328,0.33379698887629206,28
52,diag_core_terminal_pair_lite,9,0.281777948141098,0.26293549438317615,1.148909568786621,0.8952845335006714,0.3622986816574787,28
52,diag_core_terminal_pair_lite,10,0.2521545326425916,0.32686231036980945,1.2238166332244873,0.9747961759567261,0.39317988961253986,28
52,diag_core_terminal_pair_lite,11,0.25514876203877584,0.28894001493851346,1.1592692136764526,0.9368184804916382,0.31253882022734064,28
52,diag_core_terminal_pair_lite,12,0.23919738829135895,0.255169199158748,1.2048009634017944,0.8593998551368713,0.3823146034141869,28
52,diag_core_terminal_pair_lite,13,0.22106349893978663,0.3104245662689209,1.2048100233078003,0.9805153012275696,0.34732173321015164,28
