dataset,seed,model,split,extra_dim,threshold,acc,bacc,auc,auprc,f1,mcc,precision,sensitivity,specificity,params
acepair_cls_2_5,42,GRUOnly,valid,0,0.22999999999999998,0.6846153846153846,0.7014212202891448,0.7576574369027199,0.6663368126797605,0.672,0.3982339402250896,0.5833333333333334,0.7924528301886793,0.6103896103896104,"{""best_epoch"": 82, ""best_valid_auc"": 0.7576574369027199}"
acepair_cls_2_5,42,GRUOnly,test,0,0.22999999999999998,0.5864197530864198,0.5918560606060606,0.6534090909090908,0.58951421821358,0.5503355704697986,0.18058962833358033,0.4939759036144578,0.6212121212121212,0.5625,"{""best_epoch"": 82, ""best_valid_auc"": 0.7576574369027199}"
acepair_cls_2_5,42,GRU_Descriptor,valid,82,0.24,0.676923076923077,0.6890468022543494,0.7057093849546678,0.6712388883703768,0.6557377049180327,0.3723001110863092,0.5797101449275363,0.7547169811320755,0.6233766233766234,"{""best_epoch"": 65, ""best_valid_auc"": 0.7057093849546678}"
acepair_cls_2_5,42,GRU_Descriptor,test,82,0.24,0.6604938271604939,0.6732954545454546,0.6942866161616161,0.6122665454635308,0.6405228758169934,0.3415344316830711,0.5632183908045977,0.7424242424242424,0.6041666666666666,"{""best_epoch"": 65, ""best_valid_auc"": 0.7057093849546678}"
acepair_cls_2_5,42,GRU_A1PCA,valid,64,0.61,0.6846153846153846,0.6573143837294781,0.6870864984072531,0.6213857486921613,0.5684210526315789,0.3306098169032783,0.6428571428571429,0.5094339622641509,0.8051948051948052,"{""best_epoch"": 40, ""best_valid_auc"": 0.6870864984072531}"
acepair_cls_2_5,42,GRU_A1PCA,test,64,0.61,0.6234567901234568,0.5994318181818181,0.6553030303030303,0.5460668905725654,0.5040650406504065,0.2046118977677837,0.543859649122807,0.4696969696969697,0.7291666666666666,"{""best_epoch"": 40, ""best_valid_auc"": 0.6870864984072531}"
acepair_cls_2_5,42,GRU_Descriptor_A1PCA,valid,146,0.8899999999999999,0.7153846153846154,0.6744670423915706,0.7270276892918403,0.655781054503346,0.5647058823529412,0.39805095013908776,0.75,0.4528301886792453,0.8961038961038961,"{""best_epoch"": 75, ""best_valid_auc"": 0.7270276892918403}"
acepair_cls_2_5,42,GRU_Descriptor_A1PCA,test,146,0.8899999999999999,0.6111111111111112,0.5748106060606061,0.6554608585858587,0.5643278665532544,0.4424778761061947,0.16199548256678667,0.5319148936170213,0.3787878787878788,0.7708333333333334,"{""best_epoch"": 75, ""best_valid_auc"": 0.7270276892918403}"
acepair_cls_2_5,52,GRUOnly,valid,0,0.09,0.6923076923076923,0.6814506248468513,0.6923548149963245,0.6018734013477511,0.6226415094339622,0.3629012496937025,0.6226415094339622,0.6226415094339622,0.7402597402597403,"{""best_epoch"": 199, ""best_valid_auc"": 0.6923548149963245}"
acepair_cls_2_5,52,GRUOnly,test,0,0.09,0.6234567901234568,0.6231060606060606,0.6866319444444444,0.5907484835958972,0.5734265734265734,0.24224910913591458,0.5324675324675324,0.6212121212121212,0.625,"{""best_epoch"": 199, ""best_valid_auc"": 0.6923548149963245}"
acepair_cls_2_5,52,GRU_Descriptor,valid,82,0.5499999999999999,0.6923076923076923,0.6461651555991179,0.6385689781916196,0.5569778961241683,0.5121951219512195,0.3450622584283915,0.7241379310344828,0.39622641509433965,0.8961038961038961,"{""best_epoch"": 2, ""best_valid_auc"": 0.6385689781916196}"
acepair_cls_2_5,52,GRU_Descriptor,test,82,0.5499999999999999,0.6234567901234568,0.5923295454545454,0.654513888888889,0.5875525210753005,0.47863247863247865,0.19535822470260525,0.5490196078431373,0.42424242424242425,0.7604166666666666,"{""best_epoch"": 2, ""best_valid_auc"": 0.6385689781916196}"
acepair_cls_2_5,52,GRU_A1PCA,valid,64,0.48999999999999994,0.6846153846153846,0.7014212202891448,0.712080372457731,0.586617979424647,0.672,0.3982339402250896,0.5833333333333334,0.7924528301886793,0.6103896103896104,"{""best_epoch"": 2, ""best_valid_auc"": 0.712080372457731}"
acepair_cls_2_5,52,GRU_A1PCA,test,64,0.48999999999999994,0.5555555555555556,0.5634469696969697,0.6025883838383839,0.5258001785433022,0.5263157894736842,0.12493739391354411,0.46511627906976744,0.6060606060606061,0.5208333333333334,"{""best_epoch"": 2, ""best_valid_auc"": 0.712080372457731}"
acepair_cls_2_5,52,GRU_Descriptor_A1PCA,valid,146,0.4699999999999999,0.6923076923076923,0.7020338152413624,0.7196765498652292,0.5740640724386478,0.6666666666666666,0.39731017026603854,0.5970149253731343,0.7547169811320755,0.6493506493506493,"{""best_epoch"": 3, ""best_valid_auc"": 0.7196765498652292}"
acepair_cls_2_5,52,GRU_Descriptor_A1PCA,test,146,0.4699999999999999,0.5493827160493827,0.5653409090909091,0.6300505050505051,0.554757380765643,0.5408805031446541,0.12985441882345222,0.46236559139784944,0.6515151515151515,0.4791666666666667,"{""best_epoch"": 3, ""best_valid_auc"": 0.7196765498652292}"
acepair_cls_2_5,62,GRUOnly,valid,0,0.95,0.7153846153846154,0.6774074981622151,0.7194315118843421,0.6529895189342115,0.5747126436781609,0.3967438372413921,0.7352941176470589,0.4716981132075472,0.8831168831168831,"{""best_epoch"": 101, ""best_valid_auc"": 0.7194315118843421}"
acepair_cls_2_5,62,GRUOnly,test,0,0.95,0.7098765432098766,0.6699810606060606,0.7157512626262625,0.6484663143634057,0.5607476635514018,0.38419658580894545,0.7317073170731707,0.45454545454545453,0.8854166666666666,"{""best_epoch"": 101, ""best_valid_auc"": 0.7194315118843421}"
