epoch,train_loss,val_loss,val_rmse,val_mae,val_spearman
1,0.8067494006383986,0.3955873449643453,1.2455111742019653,1.082999348640442,0.37743309802072394
2,0.37725503245989483,0.28015710165103275,1.1477655172348022,0.9093582034111023,0.34088304509260914
3,0.2915959783962795,0.28347080449263257,1.1580088138580322,0.9318647384643555,0.41643265186312123
4,0.2673306777363732,0.2561761985222499,1.1334586143493652,0.861404299736023,0.40901416337986574
5,0.31041382395085837,0.26711635788281757,1.121951699256897,0.8876932263374329,0.38009255615623067
6,0.24799660983539762,0.28460053106149036,1.236756443977356,0.9612209796905518,0.3911852960109098
7,0.25844198323431467,0.25003551815946895,1.143188714981079,0.8530109524726868,0.40430762233742307
8,0.2516115549064818,0.2997491757074992,1.1960259675979614,0.9527658820152283,0.3673026620966557
9,0.24065716848486945,0.26521198948224384,1.199218511581421,0.8877392411231995,0.36803751237094046
10,0.23194514924571627,0.3364691138267517,1.2726402282714844,1.0229922533035278,0.2886911791832906
11,0.2197981941558066,0.2770407150189082,1.1957542896270752,0.9364980459213257,0.36096895258972533
12,0.21067552268505096,0.2933894358575344,1.2806291580200195,0.9919525384902954,0.3543378036860607
13,0.2092906910748709,0.2650124356150627,1.233959436416626,0.9226522445678711,0.36081148467380725
14,0.1916607462224506,0.2958548863728841,1.2453986406326294,0.97358638048172,0.28897112214492293
15,0.17793732491277514,0.34620048105716705,1.337214469909668,1.0718735456466675,0.25179119755313545
