dataset,seed,feature_set,model,base_model,n_features,params,split,threshold,acc,bacc,auc,auprc,f1,mcc,precision,sensitivity,specificity
plm4ace_cleaned_2_5,52,A1FlatSelected_ESM2PCAInteract,A1FlatSelected_ESM2PCAInteract-LR,LR,1832,"{""k"": 200, ""pca_dim"": 32, ""C"": 0.1, ""max_a1_for_interaction"": 50}",test,0.42999999999999994,0.784,0.7706155632984901,0.8916957026713124,0.8059774361982017,0.6896551724137931,0.5268923282656928,0.6521739130434783,0.7317073170731707,0.8095238095238095
plm4ace_cleaned_2_5,62,ESM2,ESM2-LR,LR,320,"{""k"": null, ""pca_dim"": null, ""C"": 10.0, ""max_a1_for_interaction"": null}",valid,0.8899999999999999,0.92,0.8832720588235294,0.9522058823529411,0.9212029014005936,0.8620689655172413,0.8151998046712325,0.9615384615384616,0.78125,0.9852941176470589
plm4ace_cleaned_2_5,62,ESM2,ESM2-LR,LR,320,"{""k"": null, ""pca_dim"": null, ""C"": 10.0, ""max_a1_for_interaction"": null}",test,0.8899999999999999,0.84,0.8185249709639953,0.9224738675958188,0.8615764939775141,0.7560975609756098,0.6370499419279907,0.7560975609756098,0.7560975609756098,0.8809523809523809
plm4ace_cleaned_2_5,62,A1FlatSelected,A1FlatSelected-LR,LR,100,"{""k"": 100, ""pca_dim"": null, ""C"": 0.1, ""max_a1_for_interaction"": null}",valid,0.73,0.88,0.8207720588235294,0.9039522058823529,0.8672343208817059,0.7777777777777778,0.7224325926707409,0.9545454545454546,0.65625,0.9852941176470589
plm4ace_cleaned_2_5,62,A1FlatSelected,A1FlatSelected-LR,LR,100,"{""k"": 100, ""pca_dim"": null, ""C"": 0.1, ""max_a1_for_interaction"": null}",test,0.73,0.808,0.775987224157956,0.8417537746806039,0.7877034122323373,0.7,0.5593311626466179,0.717948717948718,0.6829268292682927,0.8690476190476191
plm4ace_cleaned_2_5,62,A1FlatSelected_ESM2PCA,A1FlatSelected_ESM2PCA-LR,LR,132,"{""k"": 100, ""pca_dim"": 32, ""C"": 0.1, ""max_a1_for_interaction"": null}",valid,0.57,0.89,0.8777573529411764,0.9352022058823529,0.893344720667943,0.8307692307692308,0.7495109747382576,0.8181818181818182,0.84375,0.9117647058823529
plm4ace_cleaned_2_5,62,A1FlatSelected_ESM2PCA,A1FlatSelected_ESM2PCA-LR,LR,132,"{""k"": 100, ""pca_dim"": 32, ""C"": 0.1, ""max_a1_for_interaction"": null}",test,0.57,0.856,0.8429152148664344,0.9236353077816493,0.8976725911842633,0.7857142857142857,0.6778087452446937,0.7674418604651163,0.8048780487804879,0.8809523809523809
plm4ace_cleaned_2_5,62,A1FlatSelected_ESM2PCAInteract,A1FlatSelected_ESM2PCAInteract-LR,LR,916,"{""k"": 100, ""pca_dim"": 16, ""C"": 0.1, ""max_a1_for_interaction"": 50}",valid,0.4699999999999999,0.87,0.8216911764705883,0.8474264705882354,0.8086312635967826,0.7719298245614035,0.6931032800836721,0.88,0.6875,0.9558823529411765
plm4ace_cleaned_2_5,62,A1FlatSelected_ESM2PCAInteract,A1FlatSelected_ESM2PCAInteract-LR,LR,916,"{""k"": 100, ""pca_dim"": 16, ""C"": 0.1, ""max_a1_for_interaction"": 50}",test,0.4699999999999999,0.808,0.8009581881533101,0.8339140534262486,0.8112873113001777,0.7272727272727273,0.5834068182418612,0.6808510638297872,0.7804878048780488,0.8214285714285714
plm4ace_cleaned_2_5,72,ESM2,ESM2-LR,LR,320,"{""k"": null, ""pca_dim"": null, ""C"": 0.1, ""max_a1_for_interaction"": null}",valid,0.6,0.9,0.9016544117647058,0.9517463235294118,0.9120660530181313,0.8529411764705882,0.7806758511174622,0.8055555555555556,0.90625,0.8970588235294118
